video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
BI5Ez8GfUQk,complete,7,182.5,100.0,5.5,44.0,2637.0,2434.8,173
BI88cbfpcs4,complete,7,200.4,100.0,5.0,46.0,2637.0,2436.0,189
BJpq-MBImXs,complete,7,400.7,100.0,5.8,46.0,2842.0,2436.2,375
BJs8fDke3Do,complete,7,268.8,100.0,3.4,17.0,2637.0,2438.4,252
BK2twIqPLUs,complete,7,312.2,100.0,4.1,18.0,2637.0,2438.0,295
BKorP55Aqvg,complete,7,433.9,100.0,8.4,67.0,3364.0,2450.8,400
BMACKeHjgz8,complete,7,293.5,91.0,4.3,35.0,2637.0,2435.3,275
BMRdkU5BYS8,complete,7,287.0,100.0,3.3,15.0,2637.0,2439.3,269
BN_glUIYmqE,complete,7,286.6,100.0,4.5,28.0,2637.0,2437.1,261
BOFByyDRCuM,complete,7,408.2,100.0,5.8,54.0,2844.0,2437.7,374
BQ4byavxN5Q,complete,7,274.6,100.0,6.9,59.0,2637.0,2435.8,260
BQZTNUoT8Jw,complete,7,366.3,100.0,6.0,49.0,3220.0,2439.6,345
BQtMVdsiWVY,complete,7,414.3,100.0,3.0,16.0,2844.0,2439.6,379
BRDOaSBA5Es,complete,7,457.8,100.0,8.6,67.0,3290.0,2449.0,422
BRRDQmpencg,complete,7,160.6,100.0,8.7,56.0,2637.0,2437.4,152
BSzSF44uN2o,complete,7,284.5,100.0,3.6,14.0,2637.0,2437.5,241
BT58h5iD5Dg,complete,7,184.3,100.0,3.4,23.0,2637.0,2440.7,173
BTjA8YQ18x4,complete,2,253.1,100.0,1.7,4.0,2637.0,2443.9,331
BTo4jA0SGTE,complete,7,263.3,100.0,3.9,21.0,2840.0,2436.7,249
BU4Klidh3d0,complete,7,263.1,100.0,5.1,39.0,2637.0,2436.0,245
BX9WFJc-75U,complete,5,210.3,70.0,1.4,2.0,2842.0,2443.5,212
BXJel8Wrf2w,complete,7,204.8,100.0,7.1,49.0,2637.0,2435.4,193
BYXK9zTvkf8,complete,7,317.1,100.0,5.8,49.0,2844.0,2437.8,297
BYkzQ5jEnCA,complete,7,447.6,100.0,4.0,36.0,2844.0,2438.0,405
BZcxG9sSzNA,complete,7,617.9,100.0,5.8,53.0,2844.0,2437.5,566
BbzMA3GiJR0,complete,7,204.9,100.0,5.4,46.0,2637.0,2436.4,194
BdCNtywcR6M,complete,7,209.1,100.0,3.1,16.0,2637.0,2436.5,196
Bec12MmvRVc,complete,7,273.8,100.0,4.7,41.0,2637.0,2434.0,257
BerUvYg7o_A,complete,7,307.3,100.0,5.7,46.0,2637.0,2435.8,288
BguSmQuIwUQ,complete,7,263.8,100.0,4.8,44.0,2637.0,2439.4,248
BiTtT9cpXHs,complete,7,220.0,100.0,4.3,20.0,3051.0,2436.4,207
BjDozn9EQ8k,complete,7,446.9,100.0,5.8,46.0,2844.0,2436.3,414
