feature,component,spearman_vs_residual,spearman_vs_target
core_depth_midas__depth_std__p50,core_depth_midas,-0.0172,-0.0274
core_clip__shot_quality_scores__max,core_clip,-0.0172,-0.0537
cut_detection__motion_cut_intensity_score,cut_detection,0.0172,0.0706
core_optical_flow__flow_dir_cos_mean__mean,core_optical_flow,-0.0172,-0.0781
core_optical_flow__flow_dir_sin_mean__mean,core_optical_flow,-0.0169,-0.0245
cut_detection__scene_to_shot_ratio,cut_detection,-0.0169,-0.0352
core_optical_flow__flow_dy_mean_per_sec_norm__p50,core_optical_flow,-0.0168,-0.03
cut_detection__soft_lab_l__mean,cut_detection,-0.0167,-0.1401
scene_classification__times_s__p50,scene_classification,-0.0166,-0.0657
cut_detection__pair_times_s__p50,cut_detection,-0.0166,-0.0657
core_depth_midas__foreground_background_separation_proxy__p90,core_depth_midas,0.0166,-0.036
scene_classification__times_s__p90,scene_classification,-0.0165,-0.0657
cut_detection__union_timestamps_sec__p50,cut_detection,-0.0165,-0.0657
cut_detection__times_s__p50,cut_detection,-0.0165,-0.0657
video_pacing__main_speed,video_pacing,-0.0165,-0.082
cut_detection__union_timestamps_sec__p90,cut_detection,-0.0165,-0.0657
cut_detection__times_s__p90,cut_detection,-0.0165,-0.0657
cut_detection__pair_times_s__mean,cut_detection,-0.0165,-0.0655
cut_detection__pair_times_s__p90,cut_detection,-0.0165,-0.0657
core_depth_midas__depth_p05__std,core_depth_midas,-0.0164,-0.0063
cut_detection__pair_times_s__std,cut_detection,-0.0164,-0.0656
core_depth_midas__depth_std__min,core_depth_midas,0.0164,0.0054
scene_classification__times_s__std,scene_classification,-0.0164,-0.0655
cut_detection__union_timestamps_sec__mean,cut_detection,-0.0164,-0.0655
scene_classification__times_s__mean,scene_classification,-0.0164,-0.0655
cut_detection__times_s__mean,cut_detection,-0.0164,-0.0655
cut_detection__union_timestamps_sec__std,cut_detection,-0.0164,-0.0655
cut_detection__times_s__std,cut_detection,-0.0164,-0.0655
core_depth_midas__depth_mean__p50,core_depth_midas,-0.0164,-0.0139
cut_detection__pair_times_s__max,cut_detection,-0.0164,-0.0655
scene_classification__times_s__max,scene_classification,-0.0162,-0.0654
cut_detection__union_timestamps_sec__max,cut_detection,-0.0162,-0.0654
cut_detection__times_s__max,cut_detection,-0.0162,-0.0654
scene_classification__end_time_s__max,scene_classification,-0.0162,-0.0654
core_optical_flow__flow_dy_mean_per_sec_norm__std,core_optical_flow,0.0162,0.0975
core_optical_flow__flow_consistency__min,core_optical_flow,-0.0161,-0.0286
core_optical_flow__flow_div_abs_mean__max,core_optical_flow,0.0161,0.0286
core_optical_flow__cam_ty_per_sec_norm__p50,core_optical_flow,0.016,0.0403
core_optical_flow__preview_cur_times_s__min,core_optical_flow,-0.016,-0.0543
scene_classification__frame_top1_top2_gap__mean,scene_classification,0.016,-0.076
cut_detection__fade_in_count,cut_detection,-0.0159,0.0078
scene_classification__top1_vs_top2_gap_mean__p90,scene_classification,0.0159,-0.0834
uniqueness__n_frames,uniqueness,-0.0159,-0.0106
cut_detection__event_times_s__p90,cut_detection,-0.0159,-0.0518
core_optical_flow__flow_dx_mean_per_sec_norm__min,core_optical_flow,-0.0159,-0.0751
cut_detection__soft_lab_l__p50,cut_detection,-0.0159,-0.136
core_optical_flow__flow_mag_std_per_sec_norm__std,core_optical_flow,0.0158,0.1181
video_pacing__shot_duration_median,video_pacing,-0.0158,-0.0746
core_clip__places365_topk_scores__p90,core_clip,-0.0156,-0.0805
scene_classification__fraction_high_confidence_frames__max,scene_classification,0.0156,-0.0691
scene_classification__start_time_s__p50,scene_classification,-0.0156,-0.0397
core_optical_flow__preview_pair_pos__max,core_optical_flow,-0.0154,-0.0625
core_optical_flow__preview_pair_pos__p90,core_optical_flow,-0.0154,-0.0625
core_optical_flow__preview_pair_pos__std,core_optical_flow,-0.0154,-0.0625
core_optical_flow__preview_pair_pos__mean,core_optical_flow,-0.0154,-0.0625
core_optical_flow__preview_pair_pos__p50,core_optical_flow,-0.0154,-0.0625
cut_detection__pair_dt_s__p50,cut_detection,-0.0153,-0.0558
uniqueness__diversity_score,uniqueness,0.0151,0.0146
uniqueness__pairwise_sim_mean,uniqueness,-0.0151,-0.0146
cut_detection__event_start_time_s__min,cut_detection,0.015,-0.0407
core_optical_flow__preview_flow_mag_map_norm__std,core_optical_flow,-0.015,0.0042
scene_classification__start_time_s__std,scene_classification,-0.0148,-0.0642
core_optical_flow__flow_dx_mean_per_sec_norm__p50,core_optical_flow,-0.0148,-0.0809
cut_detection__soft_hsv_v__mean,cut_detection,-0.0147,-0.1235
cut_detection__dissolve_count,cut_detection,0.0145,-0.014
scene_classification__frame_top1_top2_gap__p50,scene_classification,0.0145,-0.0599
cut_detection__pair_times_s__min,cut_detection,-0.0141,-0.0527
scene_classification__class_entropy_mean__p50,scene_classification,0.0138,0.0776
scene_classification__end_frame__max,scene_classification,-0.0138,-0.061
core_optical_flow__flow_dy_mean_per_sec_norm__max,core_optical_flow,0.0137,0.1022
cut_detection__shot_length_histogram__p90,cut_detection,0.0137,0.0431
cut_detection__min_cut_interval,cut_detection,-0.0132,-0.0757
cut_detection__hard_cut_strength_mean,cut_detection,-0.0131,0.0275
video_pacing__climax_speed,video_pacing,-0.013,-0.1207
core_optical_flow__motion_norm_per_sec_mean__std,core_optical_flow,0.0129,0.0919
cut_detection__event_times_s__std,cut_detection,-0.0128,-0.0426
cut_detection__event_start_time_s__p90,cut_detection,-0.0128,-0.0532
core_optical_flow__cam_shake_std_norm__p50,core_optical_flow,-0.0127,0.0549
scene_classification__label_stability__max,scene_classification,-0.0124,-0.0902
cut_detection__event_start_time_s__std,cut_detection,-0.0123,-0.0475
core_depth_midas__foreground_background_separation_proxy__mean,core_depth_midas,0.0123,-0.0401
scene_classification__fraction_high_confidence_frames__std,scene_classification,-0.0122,-0.0822
scene_classification__start_time_s__max,scene_classification,-0.0121,-0.0592
cut_detection__threshold_flow__p50,cut_detection,0.0116,0.0925
cut_detection__threshold_flow__max,cut_detection,0.0116,0.0925
cut_detection__threshold_flow__min,cut_detection,0.0116,0.0925
cut_detection__threshold_flow__p90,cut_detection,0.0116,0.0925
cut_detection__threshold_flow__mean,cut_detection,0.0116,0.0925
core_clip__places365_topk_scores__std,core_clip,0.0116,0.0089
scene_classification__mean_score__mean,scene_classification,0.0115,-0.0779
scene_classification__top1_prob_mean__mean,scene_classification,0.0115,-0.0779
cut_detection__hist_diff_l1__max,cut_detection,0.0115,-0.0188
cut_detection__hard_cut_strength_p50,cut_detection,0.0115,0.0037
core_optical_flow__cam_tx_per_sec_norm__min,core_optical_flow,-0.0114,-0.049
scene_classification__start_time_s__p90,scene_classification,-0.0114,-0.0571
scene_classification__frame_entropy__max,scene_classification,-0.0112,-0.0013
core_optical_flow__cam_shake_std_norm__mean,core_optical_flow,0.0111,0.0938
scene_classification__class_entropy_mean__p90,scene_classification,-0.0109,0.0298
cut_detection__shot_length_histogram__p50,cut_detection,-0.0109,-0.0214
scene_classification__end_time_s__std,scene_classification,-0.0108,-0.0692
core_clip__scene_luxury_scores__max,core_clip,0.0108,0.0143
cut_detection__soft_hsv_v__p50,cut_detection,-0.0108,-0.1165
cut_detection__soft_flow_mag__std,cut_detection,0.0108,0.09
cut_detection__motion_flow_mag__std,cut_detection,0.0108,0.09
cut_detection__flow_mag__std,cut_detection,0.0108,0.09
cut_detection__ssim_drop__std,cut_detection,0.0107,-0.0114
core_clip__places365_video_topk_scores__std,core_clip,-0.0106,-0.0625
core_optical_flow__flow_dir_sin_mean__p90,core_optical_flow,-0.0106,-0.0339
core_optical_flow__cam_affine_rotation__p90,core_optical_flow,-0.0105,-0.005
cut_detection__hard_score__max,cut_detection,0.0105,0.0428
cut_detection__event_pair_index__max,cut_detection,-0.0105,-0.0412
core_depth_midas__preview_depth_maps_norm__std,core_depth_midas,0.0104,0.0239
cut_detection__soft_flow_mag__p50,cut_detection,-0.0104,0.0653
cut_detection__flow_mag__p50,cut_detection,-0.0104,0.0653
cut_detection__motion_flow_mag__p50,cut_detection,-0.0104,0.0653
scene_classification__top1_vs_top2_gap_mean__p50,scene_classification,0.0103,-0.0857
core_clip__cut_detection_transition_scores__std,core_clip,-0.0102,-0.08
video_pacing__share_of_high_motion_frames,video_pacing,-0.0101,-0.0273
core_optical_flow__cam_shake_std_norm__max,core_optical_flow,-0.0101,0.0858
core_depth_midas__preview_depth_maps__max,core_depth_midas,0.01,0.0252
core_optical_flow__flow_dx_mean_per_sec_norm__p90,core_optical_flow,0.0098,0.0552
core_optical_flow__cam_ty_per_sec_norm__p90,core_optical_flow,-0.0097,0.0507
core_clip__shot_quality_scores__min,core_clip,0.0097,-0.0355
cut_detection__threshold_hist__std,cut_detection,-0.0097,-0.0374
scene_classification__frame_topk_probs__std,scene_classification,0.0097,-0.068
core_depth_midas__depth_range_robust__max,core_depth_midas,-0.0096,-0.0459
scene_classification__end_frame__p90,scene_classification,-0.0095,-0.045
cut_detection__soft_hsv_v__p90,cut_detection,-0.0094,-0.0906
cut_detection__motion_mag_variance__p50,cut_detection,-0.0091,0.0628
core_optical_flow__cam_affine_rotation__std,core_optical_flow,0.0091,-0.0003
core_optical_flow__cam_affine_rotation__p50,core_optical_flow,0.0091,0.0144
cut_detection__shot_length_histogram__std,cut_detection,0.009,0.0223
core_optical_flow__motion_norm_per_sec_mean__p50,core_optical_flow,-0.0089,0.0665
cut_detection__pair_dt_s__mean,cut_detection,0.0087,-0.0386
core_optical_flow__cam_affine_scale__p50,core_optical_flow,-0.0086,-0.035
cut_detection__threshold_ssim__std,cut_detection,0.0086,0.0013
cut_detection__soft_lab_l__max,cut_detection,-0.0084,-0.0833
cut_detection__audio_spike_cut_ratio,cut_detection,-0.0083,-0.0802
core_depth_midas__depth_p95__max,core_depth_midas,-0.0083,-0.0382
cut_detection__soft_lab_l__std,cut_detection,0.0082,0.0091
scene_classification__frame_top1_top2_gap__p90,scene_classification,0.0081,-0.0823
cut_detection__soft_flow_mag__max,cut_detection,-0.008,0.0682
cut_detection__flow_mag__max,cut_detection,-0.008,0.0682
cut_detection__motion_flow_mag__max,cut_detection,-0.008,0.0682
uniqueness__repeat_threshold_raw,uniqueness,-0.0079,-0.0279
uniqueness__repetition_ratio,uniqueness,0.0078,-0.024
uniqueness__effective_unique_ratio,uniqueness,-0.0078,0.024
core_depth_midas__preview_depth_maps_norm__p90,core_depth_midas,-0.0077,0.026
video_pacing__share_of_high_motion_shots,video_pacing,-0.0075,-0.0935
core_optical_flow__cam_ty_per_sec_norm__mean,core_optical_flow,0.0074,0.0257
core_clip__cut_detection_transition_scores__min,core_clip,0.0073,0.0095
core_depth_midas__depth_range_robust__p90,core_depth_midas,-0.0073,-0.0442
core_optical_flow__cam_tx_per_sec_norm__std,core_optical_flow,0.0072,0.0514
core_optical_flow__cam_affine_rotation__min,core_optical_flow,-0.0069,-0.0132
cut_detection__motion_cuts_count,cut_detection,0.0068,-0.0095
core_optical_flow__flow_dir_cos_mean__min,core_optical_flow,0.0067,-0.0403
cut_detection__soft_lab_l__p90,cut_detection,-0.0066,-0.1132
scene_classification__class_entropy_mean__mean,scene_classification,0.0065,0.0735
uniqueness__effective_unique_frames,uniqueness,-0.0064,0.0085
scene_classification__length_frames__min,scene_classification,0.0062,0.0175
core_optical_flow__cam_affine_scale__p90,core_optical_flow,-0.0062,0.0074
core_optical_flow__dt_seconds__mean,core_optical_flow,0.0061,-0.0409
scene_classification__scene_change_score__max,scene_classification,0.006,-0.0016
scene_classification__mean_score__p90,scene_classification,0.0059,-0.0838
scene_classification__top1_prob_mean__p90,scene_classification,0.0059,-0.0838
core_optical_flow__motion_norm_per_sec_mean__max,core_optical_flow,-0.0059,0.0698
scene_classification__frame_top1_prob__std,scene_classification,0.0058,-0.0456
core_optical_flow__flow_dy_mean_per_sec_norm__min,core_optical_flow,-0.0058,-0.0443
core_depth_midas__depth_mean__std,core_depth_midas,-0.0057,-0.0401
core_depth_midas__preview_depth_maps_norm__p50,core_depth_midas,0.0056,0.0191
scene_classification__frame_entropy__std,scene_classification,0.0055,0.0002
core_depth_midas__foreground_background_separation_proxy__p50,core_depth_midas,0.0054,-0.0399
video_pacing__video_length_seconds,video_pacing,0.0053,-0.0439
core_clip__places365_video_topk_indices__max,core_clip,-0.0052,-0.0427
core_optical_flow__flow_dir_sin_mean__std,core_optical_flow,-0.0052,-0.0398
core_optical_flow__flow_dir_sin_mean__p50,core_optical_flow,-0.0051,-0.0146
core_depth_midas__depth_range_robust__std,core_depth_midas,-0.005,-0.0251
scene_classification__frame_top1_top2_gap__std,scene_classification,-0.0049,-0.0725
cut_detection__edit_style_fast_prob,cut_detection,0.0048,0.0037
cut_detection__pair_dt_s__std,cut_detection,-0.0044,0.0096
scene_classification__frame_entropy__p90,scene_classification,0.0042,0.0419
video_pacing__motion_speed_variance,video_pacing,0.0041,0.0929
core_depth_midas__foreground_background_separation_proxy__min,core_depth_midas,0.0041,-0.0281
scene_classification__label_stability__std,scene_classification,-0.004,-0.0616
core_optical_flow__flow_dir_cos_mean__p50,core_optical_flow,0.004,-0.0543
scene_classification__frame_top1_prob__p50,scene_classification,0.004,-0.0674
cut_detection__soft_lab_l__min,cut_detection,0.0038,-0.033
core_depth_midas__preview_depth_maps__min,core_depth_midas,-0.0036,0.015
scene_classification__start_frame__std,scene_classification,-0.0034,-0.037
video_pacing__color_change_rate_mean,video_pacing,-0.0034,0.0944
core_clip__places365_topk_indices__p90,core_clip,-0.0033,-0.0472
cut_detection__pair_dt_s__max,cut_detection,0.0033,-0.0576
core_depth_midas__depth_std__std,core_depth_midas,-0.0032,-0.0268
scene_classification__frame_top1_prob__p90,scene_classification,0.0032,-0.0844
scene_classification__end_frame__std,scene_classification,0.0031,-0.0569
core_optical_flow__flow_mag_p95_per_sec_norm__max,core_optical_flow,0.003,0.0888
cut_detection__event_pair_index__p90,cut_detection,0.003,-0.024
core_depth_midas__depth_p95__std,core_depth_midas,0.0029,-0.0147
cut_detection__fade_out_count,cut_detection,0.0028,-0.0022
scene_classification__frame_top1_prob__mean,scene_classification,0.0028,-0.0744
cut_detection__soft_hsv_v__std,cut_detection,0.0028,0.0191
core_optical_flow__cam_tx_per_sec_norm__max,core_optical_flow,-0.0028,0.0307
core_depth_midas__depth_p05__max,core_depth_midas,0.0027,0.0125
core_optical_flow__dt_seconds__std,core_optical_flow,-0.0026,0.0114
scene_classification__frame_topk_probs__p90,scene_classification,0.0024,-0.0613
scene_classification__frame_topk_ids__max,scene_classification,0.0023,-0.0439
uniqueness__max_sim_to_other_mean,uniqueness,-0.0022,-0.04
core_clip__shot_quality_scores__std,core_clip,0.0022,-0.015
scene_classification__fraction_high_confidence_frames__p50,scene_classification,-0.0021,-0.1169
cut_detection__event_strength__p50,cut_detection,0.002,0.0776
core_depth_midas__depth_p95__min,core_depth_midas,0.0019,0.0022
video_pacing__cut_density_map_8bins_7,video_pacing,-0.0018,0.0653
scene_classification__class_entropy_mean__max,scene_classification,-0.0018,0.0187
video_pacing__scene_embedding_jumps,video_pacing,0.0017,-0.0075
scene_classification__start_frame__p90,scene_classification,-0.0016,-0.0252
core_optical_flow__flow_dir_dispersion__max,core_optical_flow,-0.0016,0.0282
core_optical_flow__dt_seconds__max,core_optical_flow,0.0015,-0.0591
core_depth_midas__preview_depth_maps_norm__mean,core_depth_midas,0.0013,0.0107
core_optical_flow__cam_ty_per_sec_norm__max,core_optical_flow,-0.0012,0.0503
core_optical_flow__cam_ty_per_sec_norm__std,core_optical_flow,-0.0012,0.0408
core_depth_midas__depth_p05__min,core_depth_midas,0.0011,-0.0136
cut_detection__soft_hsv_v__max,cut_detection,0.0009,-0.0521
core_optical_flow__cam_shake_std_norm__std,core_optical_flow,0.0009,0.0942
cut_detection__speed_ramp_cuts_count,cut_detection,-0.0007,-0.0187
scene_classification__start_frame__max,scene_classification,-0.0007,-0.0321
scene_classification__class_entropy_mean__min,scene_classification,0.0007,0.0675
core_optical_flow__flow_mag_std_per_sec_norm__max,core_optical_flow,-0.0006,0.1033
core_clip__consecutive_cosine_prev__min,core_clip,-0.0006,0.0251
video_pacing__cut_density_map_8bins_5,video_pacing,0.0005,0.04
scene_classification__length_seconds__min,scene_classification,-0.0005,-0.075
core_clip__places365_topk_indices__std,core_clip,-0.0001,0.0876
scene_classification__mean_score__p50,scene_classification,0.0001,-0.0863
scene_classification__top1_prob_mean__p50,scene_classification,0.0001,-0.0863
cut_detection__soft_hsv_v__min,cut_detection,-0.0,-0.0314
