feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__hard_cut_strength_p25,cut_detection,0.0564,0.0534
core_clip__scene_aesthetic_scores__mean,core_clip,0.0559,0.0818
scene_classification__length_seconds__p90,scene_classification,-0.0559,-0.108
cut_detection__event_type_id__mean,cut_detection,-0.0558,-0.059
cut_detection__event_type_id__max,cut_detection,-0.0553,-0.0339
cut_detection__hist_diff_l1__std,cut_detection,0.055,0.0591
cut_detection__motion_mag_variance__min,cut_detection,0.0549,0.0616
cut_detection__hist_diff_l1__p90,cut_detection,0.0545,0.0752
core_clip__scene_aesthetic_scores__min,core_clip,0.0544,0.0441
scene_classification__end_frame__p50,scene_classification,-0.0543,-0.0383
cut_detection__ssim_drop__mean,cut_detection,-0.0542,-0.0544
scene_classification__length_frames__mean,scene_classification,-0.0537,-0.068
core_optical_flow__flow_div_abs_mean__std,core_optical_flow,0.0537,0.059
core_clip__scene_atmosphere_scores__mean,core_clip,0.0536,0.1491
core_clip__scene_atmosphere_scores__max,core_clip,0.0534,0.1205
core_clip__popularity_topic_scores__p90,core_clip,0.0533,0.0803
scene_classification__length_seconds__std,scene_classification,-0.0531,-0.0962
core_depth_midas__depth_complexity_score__p50,core_depth_midas,0.0531,0.0788
core_optical_flow__flow_dir_cos_mean__max,core_optical_flow,-0.053,-0.0483
core_depth_midas__depth_p05__p90,core_depth_midas,-0.0526,-0.0398
scene_classification__length_seconds__mean,scene_classification,-0.0526,-0.1161
core_clip__scene_luxury_scores__mean,core_clip,0.0526,0.0294
scene_classification__frame_top1_top2_gap__max,scene_classification,0.0525,0.0147
scene_classification__frame_topk_ids__mean,scene_classification,-0.0519,-0.1144
scene_classification__frame_top1_prob__max,scene_classification,0.0516,0.0121
scene_classification__frame_topk_probs__max,scene_classification,0.0516,0.0121
scene_classification__length_seconds__p50,scene_classification,-0.0513,-0.1208
video_pacing__cuts_per_10s,video_pacing,0.0512,0.1144
cut_detection__ssim_drop__p50,cut_detection,-0.0511,-0.0546
core_clip__consecutive_cosine_prev__mean,core_clip,-0.0511,-0.0756
core_clip__popularity_topic_scores__p50,core_clip,0.051,0.0357
scene_classification__end_time_s__min,scene_classification,-0.051,-0.0648
core_clip__frame_embeddings__mean,core_clip,0.0506,0.1632
video_pacing__cut_density_map_8bins_0,video_pacing,0.0504,0.0609
video_pacing__saturation_change_rate,video_pacing,0.0504,0.1677
cut_detection__motion_flow_mag__min,cut_detection,-0.05,0.0259
cut_detection__flow_mag__min,cut_detection,-0.05,0.0259
cut_detection__soft_flow_mag__min,cut_detection,-0.05,0.0259
cut_detection__event_strength__p90,cut_detection,-0.0498,-0.0736
cut_detection__event_strength__std,cut_detection,-0.0498,-0.0815
video_pacing__luminance_spikes_per_minute,video_pacing,0.0496,0.0722
cut_detection__motion_mag_variance__p90,cut_detection,-0.0492,0.0626
cut_detection__motion_dir_consistency__std,cut_detection,-0.0492,-0.0972
cut_detection__soft_hist_diff_l1__mean,cut_detection,0.0489,0.0718
video_pacing__cuts_per_10s_median,video_pacing,0.0486,0.1125
scene_classification__frame_topk_ids__min,scene_classification,-0.048,-0.0763
core_depth_midas__preview_depth_maps__mean,core_depth_midas,-0.0478,-0.0368
cut_detection__event_strength__mean,cut_detection,-0.0478,-0.1026
uniqueness__repeat_threshold_quality,uniqueness,-0.0476,-0.0316
scene_classification__length_seconds__max,scene_classification,-0.0475,-0.0936
scene_classification__frame_scene_embedding__mean,scene_classification,0.0472,0.1605
cut_detection__hist_diff_l1__p50,cut_detection,0.047,0.0631
cut_detection__very_long_shots_count,cut_detection,-0.047,-0.0977
scene_classification__frame_entropy__min,scene_classification,-0.0465,-0.0063
cut_detection__cut_interval_std,cut_detection,-0.046,-0.1252
cut_detection__soft_hist_diff_l1__std,cut_detection,0.0455,0.0678
scene_classification__end_frame__mean,scene_classification,-0.0453,-0.0446
video_pacing__frame_embedding_diff_mean,video_pacing,0.0451,0.1543
cut_detection__event_type_id__p90,cut_detection,-0.0449,-0.0266
scene_classification__label_stability__p50,scene_classification,-0.0444,-0.075
core_clip__scene_luxury_scores__p50,core_clip,0.0441,0.0189
core_depth_midas__depth_complexity_score__max,core_depth_midas,0.0441,0.0749
cut_detection__event_pair_index__p50,cut_detection,-0.044,-0.0318
core_optical_flow__cam_shake_std_norm__min,core_optical_flow,-0.0438,0.0381
video_pacing__cut_density_map_8bins_6,video_pacing,0.0438,0.0822
core_depth_midas__depth_complexity_score__mean,core_depth_midas,0.0438,0.0801
core_depth_midas__depth_complexity_score__p90,core_depth_midas,0.043,0.0944
core_depth_midas__preview_depth_maps__p90,core_depth_midas,-0.0428,-0.0508
core_optical_flow__flow_mag_p95_per_sec_norm__min,core_optical_flow,-0.0425,0.0439
cut_detection__avg_fade_duration,cut_detection,-0.0423,-0.0753
core_depth_midas__depth_mean__min,core_depth_midas,-0.0419,-0.0306
scene_classification__frame_top1_prob__min,scene_classification,0.0417,0.0116
scene_classification__frame_topk_ids__std,scene_classification,-0.0415,0.0323
scene_classification__label_stability__mean,scene_classification,-0.0414,-0.0735
core_clip__consecutive_cosine_prev__max,core_clip,0.0413,0.0262
core_clip__shot_quality_scores__p50,core_clip,0.0411,0.0048
video_pacing__shot_duration_mean,video_pacing,-0.0408,-0.0991
core_depth_midas__depth_mean__mean,core_depth_midas,-0.0406,-0.0427
core_optical_flow__cam_ty_per_sec_norm__min,core_optical_flow,0.0405,0.0062
scene_classification__frame_topk_probs__min,scene_classification,-0.0404,-0.0174
cut_detection__motion_dir_consistency__p50,cut_detection,-0.04,-0.0607
core_optical_flow__flow_mag_p95_per_sec_norm__p90,core_optical_flow,0.0399,0.1339
uniqueness__temporal_change_mean,uniqueness,0.0399,0.1456
core_optical_flow__flow_dir_cos_mean__std,core_optical_flow,-0.0394,0.0131
core_clip__cut_detection_transition_scores__max,core_clip,0.0393,0.0456
cut_detection__shot_length_p25,cut_detection,-0.0393,-0.0946
cut_detection__motion_var_valid_mask__mean,cut_detection,0.0392,0.0489
cut_detection__motion_dir_valid_mask__mean,cut_detection,0.0392,0.0489
core_optical_flow__flow_dir_cos_mean__p90,core_optical_flow,-0.0391,-0.0247
core_optical_flow__flow_mag_std_per_sec_norm__p90,core_optical_flow,0.0389,0.1449
cut_detection__hard_cuts_count,cut_detection,0.0388,0.0372
core_clip__places365_topk_indices__mean,core_clip,-0.0388,-0.0701
core_optical_flow__flow_mag_std_per_sec_norm__p50,core_optical_flow,0.0387,0.1506
cut_detection__event_type_id__min,cut_detection,-0.0387,-0.0591
cut_detection__threshold_ssim__max,cut_detection,-0.0385,-0.0614
cut_detection__threshold_ssim__min,cut_detection,-0.0385,-0.0614
cut_detection__threshold_ssim__p50,cut_detection,-0.0385,-0.0614
cut_detection__threshold_ssim__mean,cut_detection,-0.0385,-0.0614
cut_detection__threshold_ssim__p90,cut_detection,-0.0385,-0.0614
core_clip__frame_embeddings__max,core_clip,0.0384,0.1748
core_optical_flow__flow_mag_std_per_sec_norm__mean,core_optical_flow,0.0383,0.1459
video_pacing__shot_duration_max,video_pacing,-0.0382,-0.0839
core_clip__frame_embeddings__p90,core_clip,-0.0381,0.0025
scene_classification__frame_scene_embedding__p90,scene_classification,-0.038,0.0021
uniqueness__cos_dist_next_mean,uniqueness,0.0377,0.0659
scene_classification__frame_scene_id__mean,scene_classification,0.0376,0.0209
cut_detection__pair_dt_s__min,cut_detection,0.0373,-0.014
core_clip__places365_video_topk_indices__min,core_clip,-0.0372,-0.0787
video_pacing__brightness_change_rate,video_pacing,0.0372,0.1481
core_depth_midas__depth_p05__mean,core_depth_midas,-0.0372,-0.0051
core_optical_flow__flow_consistency__std,core_optical_flow,0.0371,0.0431
core_clip__places365_topk_indices__max,core_clip,0.0371,-0.0009
cut_detection__cut_interval_entropy,cut_detection,-0.0369,-0.059
cut_detection__long_shots_ratio,cut_detection,-0.0367,-0.0928
cut_detection__motion_mag_variance__max,cut_detection,-0.0361,0.0679
scene_classification__top1_prob_mean__min,scene_classification,0.036,-0.0019
scene_classification__mean_score__min,scene_classification,0.036,-0.0019
scene_classification__end_time_s__p50,scene_classification,-0.0359,-0.0703
cut_detection__event_pair_index__mean,cut_detection,-0.0354,-0.0418
core_optical_flow__flow_mag_std_per_sec_norm__min,core_optical_flow,-0.0352,0.0505
cut_detection__soft_hist_diff_l1__p50,cut_detection,0.0352,0.0506
core_optical_flow__cam_shake_std_norm__p90,core_optical_flow,0.0349,0.0983
cut_detection__hard_score__p90,cut_detection,0.0347,0.0767
core_clip__popularity_topic_scores__max,core_clip,0.0346,0.0162
core_clip__popularity_topic_scores__std,core_clip,-0.0346,-0.0403
cut_detection__motion_dir_consistency__min,cut_detection,-0.0345,-0.0689
core_clip__places365_video_topk_indices__p90,core_clip,-0.0345,-0.0346
cut_detection__motion_camera_motion_flag__mean,cut_detection,-0.034,-0.0402
scene_classification__scene_change_score__mean,scene_classification,0.0339,0.0125
core_clip__places365_video_topk_indices__std,core_clip,0.0338,0.0839
scene_classification__frame_scene_embedding__max,scene_classification,0.0337,0.1722
core_optical_flow__flow_consistency__p90,core_optical_flow,-0.0332,-0.1066
core_depth_midas__depth_p95__mean,core_depth_midas,-0.0331,-0.0465
core_optical_flow__dt_seconds__min,core_optical_flow,0.0329,-0.0182
uniqueness__cos_dist_next_p95,uniqueness,0.0326,0.0492
scene_classification__frame_topk_probs__p50,scene_classification,-0.0326,-0.0036
core_depth_midas__depth_std__p90,core_depth_midas,-0.0324,-0.0446
core_optical_flow__flow_consistency__max,core_optical_flow,0.0323,-0.0767
core_optical_flow__flow_div_abs_mean__min,core_optical_flow,-0.0323,0.0767
core_depth_midas__foreground_background_separation_proxy__std,core_depth_midas,0.0322,0.0304
core_optical_flow__flow_mag_p95_per_sec_norm__mean,core_optical_flow,0.0322,0.1305
core_depth_midas__depth_p05__p50,core_depth_midas,-0.032,0.01
cut_detection__event_strength__max,cut_detection,-0.0319,-0.0643
scene_classification__top1_prob_mean__std,scene_classification,-0.0318,-0.0695
scene_classification__mean_score__std,scene_classification,-0.0318,-0.0695
core_clip__places365_video_topk_scores__mean,core_clip,-0.0317,-0.0933
core_clip__scene_atmosphere_scores__std,core_clip,0.0316,0.0791
cut_detection__event_end_time_s__min,cut_detection,-0.0316,-0.1096
video_pacing__motion_speed_90perc,video_pacing,0.0316,0.1223
core_clip__places365_topk_scores__max,core_clip,-0.0315,-0.0741
core_clip__places365_video_topk_scores__p50,core_clip,-0.0314,-0.0977
core_clip__places365_topk_scores__p50,core_clip,-0.0313,-0.119
core_depth_midas__depth_p95__p50,core_depth_midas,-0.0312,-0.046
core_optical_flow__cam_affine_scale__min,core_optical_flow,0.0312,0.0046
cut_detection__scene_count,cut_detection,0.0309,0.0303
cut_detection__scene_hard_cut_transitions,cut_detection,0.0309,0.0303
video_pacing__frame_embedding_diff_std,video_pacing,0.0308,0.116
core_depth_midas__preview_depth_maps__p50,core_depth_midas,-0.0302,-0.015
core_clip__places365_topk_scores__mean,core_clip,-0.0301,-0.1131
core_clip__places365_video_topk_scores__p90,core_clip,-0.0301,-0.096
core_clip__consecutive_cosine_prev__p50,core_clip,-0.0301,-0.0612
core_optical_flow__motion_norm_per_sec_mean__p90,core_optical_flow,0.03,0.103
scene_classification__class_entropy_mean__std,scene_classification,-0.03,-0.0335
scene_classification__label_stability__min,scene_classification,-0.0299,-0.0228
core_optical_flow__cam_tx_per_sec_norm__p90,core_optical_flow,-0.0299,0.0102
core_optical_flow__cam_affine_scale__mean,core_optical_flow,0.0299,-0.0122
uniqueness__max_sim_to_other_p95,uniqueness,0.0296,-0.017
scene_classification__scene_change_score__p50,scene_classification,0.0295,0.0009
core_clip__places365_topk_indices__min,core_clip,0.0292,-0.01
cut_detection__motion_cam_valid_mask__mean,cut_detection,0.0291,0.0529
video_pacing__mean_motion_speed_per_shot,video_pacing,0.0289,0.1185
cut_detection__shot_length_p10,cut_detection,-0.0288,-0.0939
core_clip__shot_quality_scores__p90,core_clip,0.0287,-0.0167
video_pacing__motion_speed_median,video_pacing,0.0287,0.1036
core_clip__shot_quality_scores__mean,core_clip,0.0286,-0.0051
scene_classification__top1_vs_top2_gap_mean__max,scene_classification,0.0285,-0.0555
scene_classification__frame_top1_top2_gap__min,scene_classification,-0.0285,-0.0393
cut_detection__flow_mag__p90,cut_detection,0.0283,0.1014
cut_detection__motion_flow_mag__p90,cut_detection,0.0283,0.1014
cut_detection__soft_flow_mag__p90,cut_detection,0.0283,0.1014
core_clip__places365_topk_indices__p50,core_clip,-0.0281,-0.0384
cut_detection__soft_hist_diff_l1__min,cut_detection,-0.028,-0.0121
cut_detection__edit_style_slow_prob,cut_detection,-0.0278,0.0208
cut_detection__flow_spike_ratio,cut_detection,-0.0278,-0.0283
scene_classification__start_frame__p50,scene_classification,-0.0278,0.0043
scene_classification__end_time_s__mean,scene_classification,-0.0278,-0.0702
core_clip__places365_video_topk_scores__min,core_clip,-0.0278,-0.0821
scene_classification__frame_scene_id__std,scene_classification,0.0276,0.0293
cut_detection__event_times_s__min,cut_detection,-0.0275,-0.1137
cut_detection__motion_mag_variance__mean,cut_detection,-0.0275,0.0912
core_depth_midas__depth_range_robust__p50,core_depth_midas,-0.0273,-0.0428
core_clip__scene_luxury_scores__std,core_clip,-0.0272,-0.0567
video_pacing__color_change_rate_std,video_pacing,0.0272,0.1183
cut_detection__ssim_drop__p90,cut_detection,-0.0271,-0.0579
core_depth_midas__depth_mean__max,core_depth_midas,-0.027,-0.0523
uniqueness__pairwise_sim_p95,uniqueness,-0.0266,-0.0806
core_optical_flow__flow_dir_sin_mean__max,core_optical_flow,-0.0266,-0.0192
scene_classification__frame_scene_id__p90,scene_classification,0.0264,0.0181
