a,b,spearman
cut_detection__motion_flow_mag__p90,cut_detection__soft_flow_mag__p90,1.0
cut_detection__motion_flow_mag__std,cut_detection__soft_flow_mag__std,1.0
core_optical_flow__preview_pair_pos__mean,core_optical_flow__preview_pair_pos__p50,1.0
cut_detection__union_timestamps_sec__mean,scene_classification__times_s__p90,1.0
cut_detection__union_timestamps_sec__mean,scene_classification__times_s__std,1.0
cut_detection__union_timestamps_sec__p50,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__union_timestamps_sec__p50,cut_detection__union_timestamps_sec__std,1.0
core_clip__times_s__p90,core_depth_midas__times_s__mean,1.0
core_clip__times_s__p90,core_depth_midas__times_s__p50,1.0
core_clip__times_s__p90,core_depth_midas__times_s__p90,1.0
core_clip__times_s__p90,core_depth_midas__times_s__std,1.0
core_clip__times_s__p90,core_optical_flow__preview_cur_times_s__max,1.0
core_clip__times_s__p90,core_optical_flow__preview_cur_times_s__mean,1.0
core_clip__times_s__p90,core_optical_flow__preview_cur_times_s__p50,1.0
core_clip__times_s__p90,core_optical_flow__preview_cur_times_s__p90,1.0
core_clip__times_s__p90,core_optical_flow__preview_cur_times_s__std,1.0
core_clip__times_s__p90,core_optical_flow__preview_prev_times_s__max,1.0
core_clip__times_s__p90,core_optical_flow__preview_prev_times_s__mean,1.0
core_clip__times_s__p90,core_optical_flow__times_s__std,1.0
cut_detection__union_timestamps_sec__max,scene_classification__times_s__std,1.0
cut_detection__union_timestamps_sec__mean,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__union_timestamps_sec__mean,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__union_timestamps_sec__mean,cut_detection__union_timestamps_sec__std,1.0
cut_detection__union_timestamps_sec__mean,scene_classification__end_time_s__max,1.0
cut_detection__union_timestamps_sec__mean,scene_classification__times_s__max,1.0
cut_detection__union_timestamps_sec__mean,scene_classification__times_s__mean,1.0
cut_detection__union_timestamps_sec__mean,scene_classification__times_s__p50,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__mean,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__p50,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__p90,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__std,1.0
cut_detection__pair_times_s__max,cut_detection__times_s__max,1.0
cut_detection__pair_times_s__max,cut_detection__times_s__mean,1.0
cut_detection__pair_times_s__max,cut_detection__times_s__p50,1.0
cut_detection__pair_times_s__max,cut_detection__times_s__p90,1.0
cut_detection__pair_times_s__max,cut_detection__times_s__std,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__max,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__std,1.0
core_clip__times_s__p90,core_optical_flow__preview_prev_times_s__p50,1.0
core_clip__times_s__p90,core_optical_flow__preview_prev_times_s__p90,1.0
core_clip__times_s__p90,core_optical_flow__preview_prev_times_s__std,1.0
core_clip__times_s__p90,core_optical_flow__times_s__max,1.0
core_clip__times_s__p90,core_optical_flow__times_s__mean,1.0
core_clip__times_s__p90,core_optical_flow__times_s__p50,1.0
core_clip__times_s__p90,core_optical_flow__times_s__p90,1.0
core_clip__times_s__std,core_depth_midas__preview_times_s__std,1.0
core_clip__times_s__std,core_depth_midas__times_s__max,1.0
core_clip__times_s__std,core_depth_midas__times_s__mean,1.0
core_clip__times_s__std,core_depth_midas__times_s__p50,1.0
core_clip__times_s__std,core_depth_midas__times_s__p90,1.0
core_clip__times_s__std,core_depth_midas__times_s__std,1.0
core_clip__times_s__std,core_optical_flow__preview_cur_times_s__max,1.0
core_clip__times_s__std,core_optical_flow__preview_cur_times_s__mean,1.0
core_clip__times_s__std,core_optical_flow__preview_cur_times_s__p50,1.0
core_clip__times_s__std,core_optical_flow__preview_cur_times_s__p90,1.0
core_clip__times_s__std,core_optical_flow__preview_cur_times_s__std,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__mean,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__p50,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__p90,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__std,1.0
core_clip__times_s__std,core_optical_flow__preview_prev_times_s__max,1.0
core_clip__times_s__std,core_optical_flow__preview_prev_times_s__mean,1.0
core_clip__times_s__std,core_optical_flow__preview_prev_times_s__p50,1.0
core_clip__times_s__std,core_optical_flow__preview_prev_times_s__p90,1.0
core_clip__times_s__std,core_optical_flow__preview_prev_times_s__std,1.0
core_clip__times_s__std,core_optical_flow__times_s__max,1.0
core_clip__times_s__std,core_optical_flow__times_s__mean,1.0
core_clip__times_s__std,core_optical_flow__times_s__p50,1.0
core_clip__times_s__std,core_optical_flow__times_s__p90,1.0
core_clip__times_s__std,core_optical_flow__times_s__std,1.0
core_clip__times_s__std,core_depth_midas__preview_times_s__max,1.0
core_clip__times_s__std,core_depth_midas__preview_times_s__mean,1.0
core_clip__times_s__std,core_depth_midas__preview_times_s__p50,1.0
cut_detection__pair_times_s__max,scene_classification__end_time_s__max,1.0
cut_detection__pair_times_s__max,scene_classification__times_s__max,1.0
cut_detection__pair_times_s__max,scene_classification__times_s__mean,1.0
cut_detection__pair_times_s__max,scene_classification__times_s__p50,1.0
cut_detection__pair_times_s__max,scene_classification__times_s__p90,1.0
cut_detection__pair_times_s__max,scene_classification__times_s__std,1.0
cut_detection__pair_times_s__mean,cut_detection__pair_times_s__p50,1.0
cut_detection__pair_times_s__mean,cut_detection__pair_times_s__p90,1.0
cut_detection__pair_times_s__mean,cut_detection__pair_times_s__std,1.0
cut_detection__union_timestamps_sec__max,scene_classification__times_s__mean,1.0
cut_detection__union_timestamps_sec__max,scene_classification__times_s__p50,1.0
cut_detection__union_timestamps_sec__max,scene_classification__times_s__p90,1.0
cut_detection__pair_times_s__mean,cut_detection__times_s__max,1.0
