video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
DDVk0gpCbHE,complete,8,448.6,100.0,6.7,46.0,2944.0,2513.8,404
DEuTXQj5WuE,complete,8,186.8,100.0,5.7,48.0,2944.0,2488.0,174
DF8jM6pjuQ8,complete,8,388.4,100.0,7.2,46.0,2748.0,2530.2,355
DFVGwpBmWuw,complete,8,220.5,100.0,6.7,49.0,3203.0,2521.7,204
DFzLDjBXVf0,complete,8,407.7,100.0,5.4,41.0,3203.0,2541.9,489
DHeIpUNMo0k,complete,7,140.9,100.0,3.4,20.0,2685.0,2442.4,159
DLPmi48O51s,complete,8,377.7,100.0,5.0,28.0,2944.0,2499.8,347
DLmRQn3kfRQ,complete,8,503.0,100.0,8.4,54.0,2944.0,2518.5,455
DNdkWbayZ4Y,complete,8,282.8,100.0,6.9,46.0,3053.0,2525.6,258
DNrzYFMnKmg,complete,6,151.4,100.0,3.6,13.0,2760.0,2506.3,207
DPuli_MA_og,complete,8,295.8,100.0,6.4,46.0,2944.0,2520.6,273
DQGK5qdR09s,complete,8,216.4,100.0,4.8,16.0,3203.0,2556.9,196
DQRFJtO0sDM,complete,8,237.1,100.0,4.6,17.0,3053.0,2505.0,222
DUGVWNZigbE,complete,7,246.9,100.0,4.4,25.0,2685.0,2486.5,308
DUhBBrN8XxU,complete,8,874.0,100.0,7.0,58.0,4351.0,2359.8,645
DUv3pbyKRIE,complete,8,219.7,100.0,5.1,28.0,2944.0,2512.4,205
DWM8sMXoOb4,complete,7,489.6,100.0,6.0,48.0,2959.0,2499.1,421
DZZ5s2GW3-4,complete,8,300.9,100.0,7.8,49.0,2944.0,2525.1,278
DZoOsb7aBi4,complete,7,1363.9,5.0,1.1,5.0,3462.0,3462.0,11
DZqPjmSf1Y8,complete,8,595.0,100.0,7.2,56.0,3286.0,2565.4,517
Dbh2OYrjgww,complete,8,280.6,100.0,6.9,46.0,3053.0,2526.8,256
DcNiWpGJbG8,complete,8,380.0,100.0,7.7,49.0,2944.0,2532.9,346
DdUHw8lsOyQ,complete,8,166.6,100.0,10.9,75.0,3312.0,2544.0,156
DfRB8Pu7srs,complete,8,366.4,100.0,7.4,49.0,2910.0,2480.6,336
DgjTfRylEiw,complete,8,254.3,100.0,4.3,30.0,2685.0,2479.9,238
DlIBNFkmuNA,complete,8,342.1,100.0,8.3,49.0,2944.0,2530.2,311
DmbooDM_0_I,complete,8,277.8,100.0,3.2,11.0,2910.0,2489.5,248
DmetH_GUFAo,complete,8,251.5,100.0,4.1,22.0,2944.0,2475.0,229
Dph-liX7Uxs,complete,8,265.0,100.0,4.4,29.0,2685.0,2458.8,251
DpzFS4Q9UcI,complete,8,452.8,100.0,8.1,60.0,3616.0,2639.7,385
DqYC1raPNgM,complete,8,295.9,100.0,6.6,45.0,3203.0,2533.7,271
DtRUbppLWZs,complete,8,877.1,100.0,6.5,49.0,4351.0,2362.1,648
Du-0hHKk_kw,complete,8,290.6,100.0,4.2,20.0,3519.0,2513.3,268
DvB9as76vug,complete,8,876.9,100.0,6.8,56.0,4351.0,2361.4,650
Dw5Ai4OYrzY,complete,8,201.6,93.0,3.9,16.0,3004.0,2519.8,186
DwVQJmPgU2w,complete,8,143.7,86.0,2.0,8.0,2685.0,2454.9,138
U4BFOh0LBE,partial,0,0.0,,,,,,
Uo,partial,0,0.0,,,,,,
XRWsL2OFU,partial,0,0.0,,,,,,
dsIExCFgs,partial,0,0.0,,,,,,
st7Hr1y8,partial,0,0.0,,,,,,
tk,partial,0,0.0,,,,,,
videos5,partial,0,0.0,,,,,,
wFAgqUac,partial,0,0.0,,,,,,
xq1Sad01vM,partial,0,0.0,,,,,,
