feature,component,spearman_vs_residual,spearman_vs_target
scene_classification__frame_topk_probs__mean,scene_classification,-0.0161,-0.0563
video_pacing__motion_speed_median,video_pacing,-0.0161,0.0992
cut_detection__avg_fade_duration,cut_detection,-0.016,-0.1293
scene_classification__frame_entropy__min,scene_classification,-0.0159,0.0909
scene_classification__end_frame__std,scene_classification,-0.0158,-0.1352
scene_classification__frame_top1_prob__mean,scene_classification,0.0157,-0.0877
scene_classification__start_frame__mean,scene_classification,0.0155,-0.1076
core_clip__scene_atmosphere_scores__std,core_clip,0.0154,0.0913
core_optical_flow__flow_dir_sin_mean__max,core_optical_flow,-0.0154,-0.0319
scene_classification__end_frame__mean,scene_classification,0.015,-0.0954
video_pacing__mean_motion_speed_per_shot,video_pacing,-0.0149,0.1192
core_optical_flow__flow_mag_std_per_sec_norm__p90,core_optical_flow,0.0149,0.1117
cut_detection__event_strength__mean,cut_detection,-0.0146,-0.1409
cut_detection__shot_length_histogram__mean,cut_detection,-0.0144,-0.0294
scene_classification__top1_vs_top2_gap_mean__p50,scene_classification,0.0138,-0.1006
core_clip__scene_luxury_scores__mean,core_clip,0.0134,-0.0026
cut_detection__shot_length_p10,cut_detection,-0.0134,-0.186
scene_classification__frame_topk_ids__min,scene_classification,0.0132,-0.0161
core_clip__times_s__max,core_clip,0.013,-0.1254
core_clip__times_s__std,core_clip,0.013,-0.1254
core_clip__times_s__mean,core_clip,0.0129,-0.1254
core_optical_flow__cam_affine_rotation__min,core_optical_flow,0.0128,0.0499
core_clip__times_s__p50,core_clip,0.0128,-0.1256
core_clip__times_s__p90,core_clip,0.0127,-0.1255
core_optical_flow__flow_mag_p95_per_sec_norm__mean,core_optical_flow,-0.0126,0.0812
core_clip__scene_atmosphere_scores__max,core_clip,-0.0125,0.086
scene_classification__start_time_s__p50,scene_classification,0.0124,-0.1321
core_optical_flow__flow_mag_std_per_sec_norm__p50,core_optical_flow,-0.0122,0.1031
cut_detection__event_end_time_s__min,cut_detection,-0.0121,-0.1619
core_clip__places365_topk_scores__mean,core_clip,-0.012,-0.0844
cut_detection__event_pair_index__min,cut_detection,-0.0119,-0.0875
core_clip__popularity_topic_scores__max,core_clip,-0.0119,-0.0216
cut_detection__event_times_s__p50,cut_detection,0.0118,-0.0974
core_clip__places365_topk_indices__min,core_clip,0.0118,0.0262
scene_classification__start_frame__p90,scene_classification,0.0117,-0.1126
scene_classification__label_stability__max,scene_classification,-0.0114,-0.0375
cut_detection__hist_diff_l1__mean,cut_detection,0.0113,-0.0094
cut_detection__event_times_s__min,cut_detection,-0.0111,-0.1578
scene_classification__end_frame__max,scene_classification,0.011,-0.1213
video_pacing__shot_duration_median,video_pacing,-0.0109,-0.1221
scene_classification__end_time_s__p90,scene_classification,0.0108,-0.1289
scene_classification__mean_score__std,scene_classification,0.0106,-0.0877
scene_classification__top1_prob_mean__std,scene_classification,0.0106,-0.0877
scene_classification__end_time_s__max,scene_classification,0.0106,-0.1258
scene_classification__times_s__max,scene_classification,0.0106,-0.1258
scene_classification__times_s__std,scene_classification,0.0105,-0.1258
scene_classification__times_s__mean,scene_classification,0.0104,-0.1258
cut_detection__soft_hist_diff_l1__p90,cut_detection,0.0104,0.0234
scene_classification__times_s__p50,scene_classification,0.0103,-0.1262
scene_classification__times_s__p90,scene_classification,0.0102,-0.126
cut_detection__threshold_hist__min,cut_detection,-0.0101,-0.04
cut_detection__threshold_hist__p50,cut_detection,-0.0101,-0.04
cut_detection__threshold_hist__mean,cut_detection,-0.0101,-0.04
cut_detection__threshold_hist__p90,cut_detection,-0.0101,-0.04
cut_detection__threshold_hist__max,cut_detection,-0.0101,-0.04
core_clip__places365_video_topk_scores__max,core_clip,-0.0099,-0.0389
scene_classification__scene_change_score__mean,scene_classification,0.009,-0.0919
video_pacing__motion_speed_90perc,video_pacing,-0.009,0.1262
cut_detection__event_start_time_s__p50,cut_detection,0.009,-0.0995
scene_classification__end_time_s__std,scene_classification,-0.0089,-0.147
core_clip__places365_video_topk_scores__p90,core_clip,-0.0089,-0.0447
cut_detection__scene_to_shot_ratio,cut_detection,-0.0087,-0.0871
cut_detection__min_cut_interval,cut_detection,-0.0086,-0.0988
cut_detection__event_times_s__p90,cut_detection,0.0086,-0.0953
cut_detection__event_end_time_s__p50,cut_detection,0.0085,-0.0996
cut_detection__union_timestamps_sec__max,cut_detection,0.0085,-0.1178
cut_detection__pair_times_s__max,cut_detection,0.0085,-0.1178
cut_detection__union_timestamps_sec__std,cut_detection,0.0084,-0.1178
cut_detection__pair_times_s__std,cut_detection,0.0084,-0.1179
cut_detection__pair_times_s__p50,cut_detection,0.0084,-0.118
cut_detection__union_timestamps_sec__mean,cut_detection,0.0084,-0.1178
cut_detection__pair_times_s__mean,cut_detection,0.0083,-0.1178
cut_detection__union_timestamps_sec__p50,cut_detection,0.0082,-0.1181
cut_detection__pair_times_s__p90,cut_detection,0.0082,-0.118
cut_detection__union_timestamps_sec__p90,cut_detection,0.0082,-0.118
cut_detection__event_times_s__std,cut_detection,0.0081,-0.0897
scene_classification__start_time_s__std,scene_classification,-0.008,-0.1587
core_clip__popularity_topic_scores__p90,core_clip,-0.008,0.0534
scene_classification__class_entropy_mean__std,scene_classification,0.008,-0.0854
cut_detection__soft_hist_diff_l1__mean,cut_detection,0.0079,-0.0043
core_clip__scene_atmosphere_scores__p90,core_clip,-0.0079,0.1969
core_clip__consecutive_cosine_prev__std,core_clip,-0.0078,-0.0608
core_clip__places365_topk_indices__std,core_clip,0.0078,0.0297
cut_detection__event_strength__max,cut_detection,-0.0077,-0.1097
cut_detection__event_end_time_s__std,cut_detection,0.0076,-0.0923
scene_classification__label_stability__p50,scene_classification,0.0076,-0.0001
core_optical_flow__cam_ty_per_sec_norm__mean,core_optical_flow,-0.0076,0.0231
scene_classification__frame_top1_prob__p50,scene_classification,0.0072,-0.0956
cut_detection__event_times_s__mean,cut_detection,0.0072,-0.0995
core_optical_flow__preview_pair_pos__p50,core_optical_flow,0.007,-0.1143
core_optical_flow__preview_pair_pos__p90,core_optical_flow,0.007,-0.1143
core_optical_flow__preview_pair_pos__std,core_optical_flow,0.007,-0.1143
core_optical_flow__preview_pair_pos__max,core_optical_flow,0.007,-0.1143
core_optical_flow__preview_pair_pos__mean,core_optical_flow,0.007,-0.1143
core_optical_flow__flow_dir_sin_mean__p50,core_optical_flow,0.0068,-0.0115
scene_classification__top1_prob_mean__p50,scene_classification,0.0067,-0.0886
scene_classification__mean_score__p50,scene_classification,0.0067,-0.0886
uniqueness__n_frames,uniqueness,-0.0066,-0.0671
cut_detection__event_start_time_s__p90,cut_detection,0.0065,-0.1002
cut_detection__event_start_time_s__mean,cut_detection,0.0065,-0.1047
core_optical_flow__flow_mag_p95_per_sec_norm__std,core_optical_flow,-0.0064,0.0658
core_optical_flow__preview_prev_times_s__p50,core_optical_flow,0.0064,-0.1187
core_optical_flow__preview_cur_times_s__std,core_optical_flow,0.0063,-0.119
core_optical_flow__times_s__max,core_optical_flow,0.0062,-0.1188
core_optical_flow__preview_cur_times_s__max,core_optical_flow,0.0062,-0.1188
core_optical_flow__preview_prev_times_s__max,core_optical_flow,0.0062,-0.1189
core_optical_flow__preview_prev_times_s__std,core_optical_flow,0.0062,-0.1191
core_optical_flow__preview_cur_times_s__p90,core_optical_flow,0.0062,-0.1188
core_optical_flow__times_s__std,core_optical_flow,0.0062,-0.1188
scene_classification__frame_entropy__std,scene_classification,-0.0062,-0.0885
core_optical_flow__preview_prev_times_s__p90,core_optical_flow,0.0061,-0.1189
core_optical_flow__times_s__mean,core_optical_flow,0.0061,-0.1189
core_optical_flow__preview_cur_times_s__mean,core_optical_flow,0.0061,-0.1188
core_optical_flow__preview_prev_times_s__mean,core_optical_flow,0.006,-0.1189
cut_detection__event_end_time_s__p90,cut_detection,0.006,-0.0993
core_optical_flow__preview_cur_times_s__p50,core_optical_flow,0.006,-0.1188
core_optical_flow__times_s__p50,core_optical_flow,0.006,-0.1191
scene_classification__length_frames__min,scene_classification,-0.0059,0.0378
core_optical_flow__times_s__p90,core_optical_flow,0.0059,-0.119
scene_classification__end_time_s__mean,scene_classification,0.0058,-0.1318
cut_detection__event_start_time_s__std,cut_detection,0.0057,-0.1029
scene_classification__end_frame__p50,scene_classification,0.0057,-0.1008
core_clip__places365_video_topk_scores__mean,core_clip,0.0056,-0.0388
cut_detection__ssim_drop__std,cut_detection,0.0056,-0.1062
cut_detection__event_strength__p50,cut_detection,0.0056,0.0552
scene_classification__frame_scene_embedding__min,scene_classification,0.0056,0.0549
video_pacing__luminance_spikes_per_minute,video_pacing,0.0055,0.0639
cut_detection__times_s__max,cut_detection,0.0053,-0.1267
cut_detection__times_s__std,cut_detection,0.0052,-0.1267
cut_detection__times_s__mean,cut_detection,0.0052,-0.1267
cut_detection__times_s__p50,cut_detection,0.0051,-0.127
cut_detection__times_s__p90,cut_detection,0.005,-0.1269
cut_detection__event_end_time_s__mean,cut_detection,0.0048,-0.104
scene_classification__scene_change_score__p50,scene_classification,0.0048,-0.0889
cut_detection__event_pair_index__p50,cut_detection,0.0043,-0.0852
cut_detection__threshold_flow__std,cut_detection,-0.0043,0.0461
core_clip__shot_quality_scores__p90,core_clip,0.0042,-0.0471
core_optical_flow__cam_ty_per_sec_norm__p50,core_optical_flow,-0.0041,0.0209
scene_classification__start_time_s__max,scene_classification,-0.004,-0.1528
cut_detection__motion_dir_consistency__mean,cut_detection,0.0039,-0.1098
cut_detection__event_pair_index__mean,cut_detection,0.0036,-0.0854
cut_detection__event_start_time_s__max,cut_detection,0.0034,-0.104
scene_classification__end_frame__min,scene_classification,-0.0034,-0.015
core_optical_flow__dt_seconds__p90,core_optical_flow,-0.0034,-0.1274
scene_classification__top1_vs_top2_gap_mean__std,scene_classification,0.0034,-0.106
cut_detection__event_times_s__max,cut_detection,0.0033,-0.0966
scene_classification__fraction_high_confidence_frames__std,scene_classification,0.0032,-0.117
cut_detection__short_shots_ratio,cut_detection,-0.0032,0.0751
video_pacing__share_of_high_motion_frames,video_pacing,-0.0032,0.0435
video_pacing__intro_speed,video_pacing,0.0031,-0.1207
scene_classification__end_time_s__p50,scene_classification,0.003,-0.134
cut_detection__motion_cut_intensity_score,cut_detection,-0.0029,0.0073
cut_detection__motion_dir_consistency__min,cut_detection,0.0029,-0.0536
cut_detection__pair_dt_s__p90,cut_detection,0.0026,-0.125
core_optical_flow__flow_mag_std_per_sec_norm__mean,core_optical_flow,0.0025,0.1106
core_optical_flow__flow_mag_std_per_sec_norm__std,core_optical_flow,-0.0025,0.0891
scene_classification__class_entropy_mean__p50,scene_classification,0.0024,0.0709
cut_detection__motion_dir_consistency__p90,cut_detection,-0.0024,-0.1116
core_clip__places365_video_topk_scores__p50,core_clip,0.0023,-0.0478
core_optical_flow__cam_tx_per_sec_norm__mean,core_optical_flow,0.002,0.0122
cut_detection__event_pair_index__max,cut_detection,0.002,-0.0814
video_pacing__high_change_frames_ratio,video_pacing,0.0018,-0.084
core_clip__cut_detection_transition_scores__p90,core_clip,0.0018,0.0186
scene_classification__frame_entropy__mean,scene_classification,-0.0017,0.0608
scene_classification__start_time_s__mean,scene_classification,0.0016,-0.1438
core_optical_flow__cam_tx_per_sec_norm__p50,core_optical_flow,-0.0011,0.0255
core_optical_flow__flow_mag_p95_per_sec_norm__p90,core_optical_flow,0.0011,0.0757
scene_classification__start_frame__max,scene_classification,-0.0009,-0.1208
scene_classification__start_time_s__p90,scene_classification,0.0007,-0.1479
scene_classification__start_frame__std,scene_classification,0.0006,-0.141
cut_detection__hist_diff_l1__p90,cut_detection,0.0004,0.0018
core_clip__frame_embeddings__min,core_clip,0.0003,0.0506
cut_detection__event_end_time_s__max,cut_detection,0.0002,-0.0989
core_optical_flow__flow_dx_mean_per_sec_norm__mean,core_optical_flow,-0.0001,-0.0549
