feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__avg_scene_length_shots,cut_detection,0.0726,0.1025
core_optical_flow__flow_dir_dispersion__std,core_optical_flow,0.0719,0.0989
core_optical_flow__motion_norm_per_sec_mean__p50,core_optical_flow,-0.0709,0.0164
core_clip__frame_embeddings__std,core_clip,0.0706,0.0871
uniqueness__temporal_change_mean,uniqueness,-0.0704,0.0835
cut_detection__very_long_shots_count,cut_detection,-0.0702,-0.1361
core_clip__scene_aesthetic_scores__max,core_clip,0.0697,0.0241
cut_detection__flow_mag__p50,cut_detection,-0.0693,0.0189
cut_detection__motion_flow_mag__p50,cut_detection,-0.0693,0.0189
cut_detection__soft_flow_mag__p50,cut_detection,-0.0693,0.0189
video_pacing__shot_duration_std,video_pacing,-0.0691,-0.1414
video_pacing__cuts_variance,video_pacing,-0.0691,-0.1414
core_optical_flow__dt_seconds__min,core_optical_flow,0.0689,-0.0464
video_pacing__cuts_per_10s_median,video_pacing,0.0688,0.154
cut_detection__soft_hist_diff_l1__max,cut_detection,-0.0686,-0.1261
video_pacing__shot_duration_mean_normalized,video_pacing,-0.068,-0.0441
scene_classification__frame_scene_embedding__std,scene_classification,0.0674,0.0889
scene_classification__length_frames__max,scene_classification,-0.0673,-0.1315
core_clip__shot_quality_scores__std,core_clip,-0.0666,-0.0891
cut_detection__shot_length_p90,cut_detection,-0.0664,-0.1753
cut_detection__motion_camera_motion_flag__mean,cut_detection,0.0657,0.0695
core_clip__shot_quality_scores__min,core_clip,0.0656,0.0185
scene_classification__length_seconds__mean,scene_classification,-0.0655,-0.1599
scene_classification__scene_change_score__std,scene_classification,-0.0654,-0.0863
cut_detection__soft_hsv_v__std,cut_detection,-0.0651,-0.0989
core_optical_flow__cam_tx_per_sec_norm__p90,core_optical_flow,-0.0645,-0.0003
uniqueness__effective_unique_frames,uniqueness,-0.0643,-0.034
uniqueness__repeat_threshold_quality,uniqueness,-0.064,-0.0874
core_optical_flow__flow_div_abs_mean__min,core_optical_flow,-0.0631,0.0568
core_optical_flow__flow_consistency__max,core_optical_flow,0.0631,-0.0568
uniqueness__pairwise_sim_p95,uniqueness,0.0622,0.0091
video_pacing__color_change_rate_mean,video_pacing,-0.0618,0.1318
core_clip__scene_aesthetic_scores__mean,core_clip,0.0608,0.0343
core_optical_flow__cam_tx_per_sec_norm__max,core_optical_flow,-0.0604,-0.0352
scene_classification__length_frames__std,scene_classification,-0.0604,-0.1645
cut_detection__soft_hsv_v__min,cut_detection,0.0599,0.0668
uniqueness__effective_unique_ratio,uniqueness,-0.0597,-0.0044
uniqueness__repetition_ratio,uniqueness,0.0597,0.0044
video_pacing__shots_count,video_pacing,0.0594,0.0382
scene_classification__fraction_high_confidence_frames__min,scene_classification,0.0593,-0.027
core_optical_flow__cam_affine_scale__min,core_optical_flow,0.059,0.0514
scene_classification__length_seconds__p50,scene_classification,-0.0585,-0.1363
uniqueness__pairwise_sim_mean,uniqueness,0.0582,0.0859
uniqueness__diversity_score,uniqueness,-0.0582,-0.0859
core_clip__places365_topk_scores__std,core_clip,-0.0581,-0.0499
scene_classification__frame_topk_ids__p50,scene_classification,-0.0581,-0.0694
core_clip__scene_luxury_scores__std,core_clip,-0.0578,-0.1049
cut_detection__event_strength__p90,cut_detection,-0.0571,-0.0862
core_optical_flow__flow_dir_sin_mean__p90,core_optical_flow,-0.0571,-0.0622
video_pacing__cuts_per_10s,video_pacing,0.057,0.1391
video_pacing__climax_speed,video_pacing,-0.0566,-0.14
scene_classification__frame_top1_top2_gap__min,scene_classification,0.0565,0.0495
core_clip__cut_detection_transition_scores__min,core_clip,0.0564,0.0548
video_pacing__frame_embedding_diff_mean,video_pacing,-0.056,0.1359
core_optical_flow__flow_div_abs_mean__p90,core_optical_flow,0.0559,0.0136
cut_detection__soft_hist_diff_l1__min,cut_detection,-0.0554,0.0441
uniqueness__repeat_threshold_raw,uniqueness,0.0552,0.0817
core_clip__places365_video_topk_indices__std,core_clip,0.0552,0.0767
core_optical_flow__flow_dir_cos_mean__p50,core_optical_flow,0.0549,-0.0025
cut_detection__motion_flow_mag__max,cut_detection,-0.0548,-0.0111
cut_detection__soft_flow_mag__max,cut_detection,-0.0548,-0.0111
cut_detection__flow_mag__max,cut_detection,-0.0548,-0.0111
core_optical_flow__motion_norm_per_sec_mean__max,core_optical_flow,-0.0539,-0.0105
core_clip__places365_topk_indices__max,core_clip,-0.0537,-0.1084
core_clip__consecutive_cosine_prev__p90,core_clip,0.0535,-0.002
cut_detection__hist_diff_l1__max,cut_detection,-0.0535,-0.1203
core_optical_flow__cam_ty_per_sec_norm__p90,core_optical_flow,-0.0531,0.0218
scene_classification__mean_score__max,scene_classification,0.0524,-0.0706
scene_classification__top1_prob_mean__max,scene_classification,0.0524,-0.0706
cut_detection__motion_var_valid_mask__mean,cut_detection,-0.0523,-0.0535
cut_detection__motion_dir_valid_mask__mean,cut_detection,-0.0523,-0.0535
core_optical_flow__cam_shake_std_norm__p50,core_optical_flow,-0.052,0.033
cut_detection__shot_length_histogram__p90,cut_detection,0.052,0.1189
cut_detection__motion_mag_variance__min,cut_detection,0.052,0.0627
cut_detection__motion_cam_valid_mask__mean,cut_detection,0.0515,0.0462
cut_detection__speed_ramp_cuts_count,cut_detection,-0.0515,-0.114
scene_classification__length_seconds__p90,scene_classification,-0.0514,-0.1609
video_pacing__share_of_high_motion_shots,video_pacing,0.0513,0.0347
cut_detection__ssim_drop__p90,cut_detection,-0.0512,-0.1004
scene_classification__top1_vs_top2_gap_mean__max,scene_classification,0.0509,-0.0802
cut_detection__long_shots_ratio,cut_detection,-0.0509,-0.1789
scene_classification__top1_vs_top2_gap_mean__min,scene_classification,0.0508,-0.0005
core_clip__frame_embeddings__p90,core_clip,-0.0503,-0.028
core_clip__cut_detection_transition_scores__p50,core_clip,0.0503,0.0822
cut_detection__edit_style_fast_prob,cut_detection,-0.0502,-0.0899
cut_detection__soft_lab_l__min,cut_detection,0.0502,0.0677
video_pacing__short_shot_fraction,video_pacing,-0.05,-0.0224
core_optical_flow__cam_tx_per_sec_norm__min,core_optical_flow,0.0492,0.0421
core_clip__scene_luxury_scores__max,core_clip,-0.0487,-0.1037
cut_detection__hist_diff_l1__min,cut_detection,-0.0486,0.056
core_optical_flow__cam_affine_scale__mean,core_optical_flow,0.0485,-0.0602
cut_detection__soft_lab_l__p90,cut_detection,0.0483,-0.0707
cut_detection__fade_out_count,cut_detection,-0.0483,-0.0466
cut_detection__motion_mag_variance__max,cut_detection,-0.0482,0.048
video_pacing__cut_density_map_8bins_0,video_pacing,0.0478,0.0519
video_pacing__cut_density_map_8bins_1,video_pacing,0.0476,0.0786
cut_detection__motion_mag_variance__p50,cut_detection,-0.0475,0.0229
cut_detection__soft_hsv_v__mean,cut_detection,0.0473,-0.0439
cut_detection__soft_hsv_v__p90,cut_detection,0.0471,-0.056
core_optical_flow__flow_dx_mean_per_sec_norm__min,core_optical_flow,0.0468,0.0144
core_optical_flow__flow_dir_sin_mean__std,core_optical_flow,-0.0466,-0.0786
cut_detection__hard_cut_strength_p50,cut_detection,0.0466,0.0406
core_clip__places365_topk_scores__max,core_clip,-0.0465,-0.0887
