feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__event_type_id__std,cut_detection,-0.0414,-0.0017
core_clip__scene_aesthetic_scores__min,core_clip,0.0414,0.0317
video_pacing__share_of_high_motion_frames,video_pacing,-0.0411,-0.0593
core_optical_flow__flow_dir_cos_mean__min,core_optical_flow,0.0407,-0.0245
cut_detection__event_type_id__mean,cut_detection,-0.0405,-0.0241
video_pacing__intro_speed,video_pacing,-0.0402,-0.1125
scene_classification__frame_entropy__max,scene_classification,-0.0402,-0.0002
core_clip__popularity_topic_scores__p50,core_clip,0.0399,0.042
core_clip__scene_luxury_scores__p50,core_clip,0.0398,-0.0094
cut_detection__hard_score__std,cut_detection,0.0397,0.0591
cut_detection__soft_hsv_v__std,cut_detection,-0.0397,-0.0058
cut_detection__motion_mag_variance__p50,cut_detection,-0.0392,-0.0092
video_pacing__motion_shot_corr,video_pacing,0.0386,0.0565
core_clip__popularity_topic_scores__p90,core_clip,0.0385,0.0752
cut_detection__event_strength__mean,cut_detection,-0.0381,-0.1062
cut_detection__dissolve_count,cut_detection,0.0373,0.0085
cut_detection__soft_lab_l__p50,cut_detection,0.0373,-0.0592
core_optical_flow__flow_dir_sin_mean__p90,core_optical_flow,0.0365,-0.0156
scene_classification__frame_scene_embedding__mean,scene_classification,0.0363,0.1633
core_optical_flow__cam_ty_per_sec_norm__mean,core_optical_flow,-0.0359,0.0043
cut_detection__median_shot_length,cut_detection,-0.0358,-0.1031
video_pacing__main_speed,video_pacing,-0.0353,-0.0869
scene_classification__frame_entropy__min,scene_classification,-0.035,-0.0051
cut_detection__motion_dir_consistency__mean,cut_detection,-0.035,-0.0373
scene_classification__frame_scene_embedding__p90,scene_classification,-0.035,0.0038
core_optical_flow__cam_tx_per_sec_norm__p50,core_optical_flow,-0.0344,-0.0463
scene_classification__frame_topk_ids__mean,scene_classification,-0.0344,-0.1125
core_optical_flow__preview_flow_mag_map_norm__p50,core_optical_flow,-0.034,-0.0403
cut_detection__event_strength__min,cut_detection,0.0339,0.0853
core_optical_flow__motion_norm_per_sec_mean__max,core_optical_flow,-0.0332,0.0531
uniqueness__max_sim_to_other_p95,uniqueness,0.033,-0.0329
core_optical_flow__preview_flow_mag_map_norm__std,core_optical_flow,-0.0328,0.0106
video_pacing__shot_duration_mean_normalized,video_pacing,-0.0327,-0.0521
scene_classification__label_stability__p50,scene_classification,-0.0325,-0.0773
cut_detection__motion_mag_variance__std,cut_detection,-0.0324,0.0268
core_optical_flow__motion_norm_per_sec_mean__p50,core_optical_flow,-0.0322,0.0567
cut_detection__whip_pan_transitions_count,cut_detection,-0.0319,-0.0706
core_optical_flow__flow_mag_p95_per_sec_norm__max,core_optical_flow,-0.0318,0.0598
cut_detection__threshold_hist__std,cut_detection,-0.0317,-0.0336
cut_detection__soft_hist_diff_l1__max,cut_detection,-0.0313,-0.032
video_pacing__short_shot_fraction,video_pacing,-0.0311,-0.0511
cut_detection__shot_length_histogram__min,cut_detection,0.031,0.0148
scene_classification__class_entropy_mean__p90,scene_classification,-0.0309,0.033
cut_detection__ssim_drop__min,cut_detection,-0.0307,-0.0191
cut_detection__audio_cut_alignment_score,cut_detection,0.0303,0.0516
cut_detection__pair_dt_s__p90,cut_detection,-0.0303,-0.0774
core_clip__shot_quality_scores__std,core_clip,0.0301,-0.0192
core_clip__consecutive_cosine_prev__max,core_clip,0.0299,0.014
cut_detection__flow_spike_ratio,cut_detection,-0.0298,-0.0186
scene_classification__frame_entropy__p90,scene_classification,-0.0297,0.045
scene_classification__frame_scene_id__p50,scene_classification,0.0296,0.0359
scene_classification__frame_topk_probs__min,scene_classification,-0.0295,-0.0154
video_pacing__shots_count,video_pacing,0.0293,0.0492
cut_detection__event_pair_index__std,cut_detection,0.0292,-0.0027
scene_classification__frame_entropy__std,scene_classification,-0.0292,0.0007
cut_detection__hard_cuts_count,cut_detection,0.0291,0.0232
scene_classification__length_frames__min,scene_classification,0.029,0.0163
uniqueness__max_sim_to_other_mean,uniqueness,0.0289,-0.0317
cut_detection__soft_hsv_v__max,cut_detection,0.0288,-0.0105
cut_detection__motion_mag_variance__p90,cut_detection,-0.0287,0.0222
cut_detection__median_cut_interval,cut_detection,-0.0286,-0.0931
cut_detection__soft_flow_mag__max,cut_detection,-0.0281,0.059
cut_detection__flow_mag__max,cut_detection,-0.0281,0.059
core_clip__scene_luxury_scores__p90,core_clip,0.028,-0.0468
cut_detection__motion_flow_mag__max,cut_detection,-0.028,0.0591
cut_detection__motion_mag_variance__mean,cut_detection,-0.0277,0.0294
core_clip__consecutive_cosine_prev__min,core_clip,0.0277,0.0368
video_pacing__cut_density_map_8bins_5,video_pacing,0.0276,0.0627
scene_classification__class_entropy_mean__max,scene_classification,-0.0275,0.0216
core_optical_flow__cam_shake_std_norm__p50,core_optical_flow,-0.0275,0.0566
cut_detection__min_cut_interval,cut_detection,-0.0273,-0.0887
cut_detection__motion_var_valid_mask__mean,cut_detection,0.0272,0.0462
cut_detection__motion_dir_valid_mask__mean,cut_detection,0.0272,0.0462
core_optical_flow__flow_dir_cos_mean__p90,core_optical_flow,-0.0272,0.0151
scene_classification__length_seconds__p90,scene_classification,-0.0271,-0.108
cut_detection__scene_count,cut_detection,0.027,0.0208
