feature,component,spearman_vs_residual,spearman_vs_target
core_clip__places365_video_topk_scores__std,core_clip,-0.0091,-0.0506
core_optical_flow__flow_div_abs_mean__p50,core_optical_flow,0.0091,0.0666
core_optical_flow__cam_ty_per_sec_norm__min,core_optical_flow,0.0091,-0.0338
core_optical_flow__flow_dir_cos_mean__mean,core_optical_flow,0.0091,-0.061
core_optical_flow__flow_consistency__p50,core_optical_flow,-0.0091,-0.0666
scene_classification__scene_change_score__p50,scene_classification,0.0089,-0.0003
core_optical_flow__cam_affine_scale__max,core_optical_flow,-0.0089,-0.0169
scene_classification__end_time_s__p50,scene_classification,0.0085,-0.0706
core_clip__places365_topk_scores__p50,core_clip,0.0084,-0.0643
scene_classification__frame_top1_prob__p50,scene_classification,0.0084,-0.0699
cut_detection__shot_length_histogram__p90,cut_detection,0.0084,0.0056
scene_classification__end_frame__std,scene_classification,-0.0083,-0.0571
core_optical_flow__flow_consistency__max,core_optical_flow,0.0081,-0.0683
core_optical_flow__flow_div_abs_mean__min,core_optical_flow,-0.0081,0.0683
core_optical_flow__flow_dx_mean_per_sec_norm__max,core_optical_flow,-0.0077,0.065
scene_classification__scene_change_score__p90,scene_classification,-0.0077,-0.0037
cut_detection__event_pair_index__mean,cut_detection,0.0073,-0.0365
core_clip__shot_quality_scores__min,core_clip,-0.0073,-0.0208
cut_detection__event_start_time_s__std,cut_detection,0.0073,-0.0419
cut_detection__soft_hist_diff_l1__p90,cut_detection,0.0072,0.0516
scene_classification__end_frame__p50,scene_classification,-0.0071,-0.0383
scene_classification__class_entropy_mean__p50,scene_classification,0.0071,0.0802
cut_detection__shot_length_histogram__max,cut_detection,-0.007,0.0187
core_optical_flow__cam_ty_per_sec_norm__std,core_optical_flow,0.0066,0.0531
cut_detection__motion_dir_consistency__std,cut_detection,0.0066,-0.0494
scene_classification__frame_topk_probs__mean,scene_classification,-0.0065,-0.0647
cut_detection__event_start_time_s__p90,cut_detection,0.0065,-0.0457
cut_detection__event_pair_index__p50,cut_detection,0.0064,-0.0273
core_optical_flow__cam_affine_scale__p90,core_optical_flow,-0.0062,0.0073
scene_classification__frame_top1_prob__mean,scene_classification,0.0059,-0.0769
core_clip__cut_detection_transition_scores__max,core_clip,0.0059,0.0305
cut_detection__cut_interval_entropy,cut_detection,-0.0059,0.0002
core_optical_flow__flow_mag_p95_per_sec_norm__mean,core_optical_flow,-0.0058,0.1004
core_clip__places365_topk_indices__p90,core_clip,-0.0057,-0.0628
core_optical_flow__flow_dir_dispersion__std,core_optical_flow,-0.0057,0.0521
core_clip__scene_atmosphere_scores__max,core_clip,-0.0056,0.0965
cut_detection__event_times_s__p90,cut_detection,0.0054,-0.0444
core_clip__consecutive_cosine_prev__mean,core_clip,-0.0053,-0.0531
core_optical_flow__cam_affine_rotation__min,core_optical_flow,-0.0053,-0.0339
core_optical_flow__flow_dy_mean_per_sec_norm__p90,core_optical_flow,-0.0053,0.0662
core_optical_flow__cam_affine_rotation__mean,core_optical_flow,0.0052,-0.0418
scene_classification__label_stability__max,scene_classification,-0.0052,-0.0874
cut_detection__event_pair_index__min,cut_detection,-0.005,-0.0457
core_clip__places365_topk_scores__min,core_clip,0.005,-0.0468
core_optical_flow__flow_mag_std_per_sec_norm__std,core_optical_flow,-0.005,0.0977
scene_classification__start_frame__p50,scene_classification,0.005,0.0054
scene_classification__frame_topk_probs__std,scene_classification,0.0049,-0.0701
scene_classification__class_entropy_mean__min,scene_classification,-0.0048,0.0687
cut_detection__long_shots_ratio,cut_detection,-0.0047,-0.0675
scene_classification__label_stability__min,scene_classification,-0.0047,-0.0254
core_optical_flow__motion_norm_per_sec_mean__p90,core_optical_flow,-0.0047,0.0881
cut_detection__shot_length_histogram__p50,cut_detection,0.0045,0.003
scene_classification__length_frames__p50,scene_classification,0.0044,-0.0273
scene_classification__fraction_high_confidence_frames__p90,scene_classification,0.0044,-0.0767
core_optical_flow__preview_pair_pos__max,core_optical_flow,0.0043,-0.0541
core_optical_flow__preview_pair_pos__std,core_optical_flow,0.0043,-0.0541
core_optical_flow__preview_pair_pos__mean,core_optical_flow,0.0043,-0.0541
core_optical_flow__preview_pair_pos__p90,core_optical_flow,0.0043,-0.0541
core_optical_flow__preview_pair_pos__p50,core_optical_flow,0.0043,-0.0541
core_clip__scene_atmosphere_scores__mean,core_clip,-0.0043,0.1149
core_optical_flow__flow_dy_mean_per_sec_norm__min,core_optical_flow,0.0043,-0.0513
core_optical_flow__dt_seconds__min,core_optical_flow,0.0043,-0.0446
scene_classification__top1_prob_mean__p50,scene_classification,0.0042,-0.0892
scene_classification__mean_score__p50,scene_classification,0.0042,-0.0892
cut_detection__zoom_transition_count,cut_detection,-0.0042,-0.0053
cut_detection__shot_length_p10,cut_detection,-0.0042,-0.0697
core_clip__places365_video_topk_indices__min,core_clip,-0.0041,-0.0491
cut_detection__motion_cuts_count,cut_detection,-0.0041,-0.011
cut_detection__pair_times_s__p50,cut_detection,-0.004,-0.0573
scene_classification__frame_topk_probs__p90,scene_classification,0.0039,-0.0636
cut_detection__union_timestamps_sec__p90,cut_detection,-0.0039,-0.0573
cut_detection__times_s__p90,cut_detection,-0.0039,-0.0573
cut_detection__event_end_time_s__max,cut_detection,-0.0039,-0.0488
cut_detection__pair_times_s__mean,cut_detection,-0.0039,-0.0573
cut_detection__pair_times_s__p90,cut_detection,-0.0039,-0.0573
cut_detection__union_timestamps_sec__p50,cut_detection,-0.0038,-0.0572
cut_detection__times_s__p50,cut_detection,-0.0038,-0.0572
cut_detection__union_timestamps_sec__mean,cut_detection,-0.0038,-0.0572
cut_detection__times_s__mean,cut_detection,-0.0038,-0.0572
cut_detection__pair_times_s__std,cut_detection,-0.0038,-0.0572
cut_detection__times_s__std,cut_detection,-0.0038,-0.0572
cut_detection__union_timestamps_sec__std,cut_detection,-0.0038,-0.0572
cut_detection__pair_times_s__max,cut_detection,-0.0038,-0.0572
cut_detection__times_s__max,cut_detection,-0.0037,-0.0572
cut_detection__union_timestamps_sec__max,cut_detection,-0.0037,-0.0572
core_optical_flow__dt_seconds__max,core_optical_flow,0.0037,-0.0486
uniqueness__cos_dist_next_p95,uniqueness,-0.0036,0.0266
cut_detection__speed_ramp_cuts_count,cut_detection,-0.0034,-0.007
core_clip__scene_atmosphere_scores__p50,core_clip,-0.0033,0.1173
cut_detection__event_end_time_s__p50,cut_detection,0.0033,-0.0474
scene_classification__end_time_s__min,scene_classification,0.0033,-0.0635
cut_detection__pair_dt_s__min,cut_detection,-0.0032,-0.0442
core_clip__cut_detection_transition_scores__p90,core_clip,-0.0032,0.0404
cut_detection__event_times_s__std,cut_detection,0.0032,-0.0391
cut_detection__event_pair_index__max,cut_detection,0.0032,-0.0403
cut_detection__soft_hist_diff_l1__p50,cut_detection,-0.0031,0.0173
cut_detection__event_end_time_s__p90,cut_detection,0.0031,-0.0473
cut_detection__pair_dt_s__max,cut_detection,-0.003,-0.0484
core_optical_flow__flow_dir_sin_mean__p50,core_optical_flow,-0.003,0.0107
core_clip__scene_atmosphere_scores__p90,core_clip,0.0029,0.1396
scene_classification__end_frame__mean,scene_classification,0.0028,-0.0448
scene_classification__class_entropy_mean__mean,scene_classification,-0.0028,0.0762
core_optical_flow__cam_tx_per_sec_norm__max,core_optical_flow,-0.0027,0.0515
scene_classification__end_time_s__std,scene_classification,0.0024,-0.0693
cut_detection__scene_to_shot_ratio,cut_detection,0.0022,-0.0066
core_optical_flow__flow_consistency__p90,core_optical_flow,-0.0022,-0.0798
scene_classification__top1_vs_top2_gap_mean__p90,scene_classification,0.0022,-0.0858
scene_classification__top1_prob_mean__p90,scene_classification,-0.0022,-0.086
scene_classification__mean_score__p90,scene_classification,-0.0022,-0.086
core_optical_flow__flow_mag_std_per_sec_norm__mean,core_optical_flow,0.0021,0.1161
cut_detection__motion_flow_mag__p90,cut_detection,-0.0021,0.0922
cut_detection__fade_out_count,cut_detection,-0.0021,-0.0208
uniqueness__pairwise_sim_p95,uniqueness,-0.002,-0.0576
cut_detection__event_start_time_s__p50,cut_detection,-0.002,-0.0528
core_optical_flow__preview_cur_times_s__p90,core_optical_flow,0.002,-0.0569
core_optical_flow__preview_prev_times_s__p90,core_optical_flow,0.0019,-0.0568
core_optical_flow__preview_prev_times_s__std,core_optical_flow,0.0019,-0.0569
core_optical_flow__preview_cur_times_s__std,core_optical_flow,0.0019,-0.0569
video_pacing__color_change_rate_mean,video_pacing,-0.0018,0.1211
scene_classification__length_seconds__p50,scene_classification,0.0018,-0.1241
core_optical_flow__times_s__max,core_optical_flow,0.0018,-0.057
core_optical_flow__preview_cur_times_s__max,core_optical_flow,0.0018,-0.057
core_optical_flow__preview_prev_times_s__p50,core_optical_flow,0.0018,-0.057
core_optical_flow__times_s__std,core_optical_flow,0.0017,-0.0571
core_optical_flow__times_s__mean,core_optical_flow,0.0017,-0.0571
core_optical_flow__times_s__p50,core_optical_flow,0.0017,-0.0571
core_optical_flow__preview_prev_times_s__mean,core_optical_flow,0.0017,-0.0571
core_optical_flow__preview_cur_times_s__mean,core_optical_flow,0.0017,-0.0571
core_optical_flow__preview_prev_times_s__max,core_optical_flow,0.0017,-0.0571
core_optical_flow__preview_cur_times_s__p50,core_optical_flow,0.0017,-0.0571
core_optical_flow__flow_div_abs_mean__max,core_optical_flow,-0.0017,0.0276
core_optical_flow__flow_consistency__min,core_optical_flow,0.0017,-0.0276
core_optical_flow__times_s__p90,core_optical_flow,0.0017,-0.0572
cut_detection__event_start_time_s__max,cut_detection,0.0016,-0.0478
core_clip__frame_embeddings__min,core_clip,-0.0014,0.0209
core_optical_flow__cam_ty_per_sec_norm__max,core_optical_flow,-0.0013,0.0541
core_optical_flow__dt_seconds__mean,core_optical_flow,-0.0012,-0.048
cut_detection__event_end_time_s__std,cut_detection,-0.0012,-0.0435
core_optical_flow__flow_dy_mean_per_sec_norm__std,core_optical_flow,-0.0012,0.0774
cut_detection__soft_hist_diff_l1__mean,cut_detection,0.0011,0.0341
cut_detection__event_times_s__mean,cut_detection,0.0011,-0.0514
cut_detection__hard_cut_strength_p50,cut_detection,-0.0011,-0.0142
cut_detection__threshold_hist__mean,cut_detection,-0.0011,0.0264
cut_detection__threshold_hist__p90,cut_detection,-0.0011,0.0264
cut_detection__threshold_hist__max,cut_detection,-0.0011,0.0264
cut_detection__threshold_hist__min,cut_detection,-0.0011,0.0264
cut_detection__threshold_hist__p50,cut_detection,-0.0011,0.0264
scene_classification__frame_topk_ids__p90,scene_classification,0.0011,-0.12
uniqueness__cos_dist_next_mean,uniqueness,0.001,0.0431
cut_detection__soft_flow_mag__p90,cut_detection,-0.001,0.0932
cut_detection__flow_mag__p90,cut_detection,-0.001,0.0932
cut_detection__threshold_flow__std,cut_detection,-0.001,0.0413
scene_classification__frame_scene_embedding__max,scene_classification,-0.0009,0.1753
cut_detection__event_start_time_s__mean,cut_detection,0.0006,-0.0527
cut_detection__event_times_s__p50,cut_detection,0.0005,-0.0509
cut_detection__event_contrib_mask__mean,cut_detection,0.0005,-0.0286
cut_detection__event_end_time_s__mean,cut_detection,0.0003,-0.0524
core_optical_flow__flow_mag_std_per_sec_norm__p50,core_optical_flow,0.0003,0.1153
cut_detection__hard_cut_strength_p75,cut_detection,-0.0003,0.006
core_clip__cut_detection_transition_scores__mean,core_clip,0.0003,0.0664
cut_detection__event_times_s__max,cut_detection,-0.0002,-0.0479
core_optical_flow__cam_affine_rotation__max,core_optical_flow,0.0002,-0.0055
core_clip__times_s__max,core_clip,0.0002,-0.0608
video_pacing__saturation_change_rate,video_pacing,-0.0002,0.1379
scene_classification__fraction_high_confidence_frames__mean,scene_classification,0.0001,-0.0871
cut_detection__hard_cut_strength_mean,cut_detection,-0.0001,-0.0024
core_clip__cut_detection_transition_scores__p50,core_clip,0.0001,0.0628
core_clip__times_s__std,core_clip,0.0001,-0.0609
core_clip__times_s__p50,core_clip,0.0001,-0.0609
core_clip__times_s__mean,core_clip,0.0001,-0.0609
core_clip__times_s__p90,core_clip,-0.0,-0.061
