feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__threshold_hist__mean,cut_detection,-0.0821,-0.0363
cut_detection__threshold_hist__p90,cut_detection,-0.0821,-0.0363
cut_detection__threshold_hist__min,cut_detection,-0.0821,-0.0363
cut_detection__threshold_hist__p50,cut_detection,-0.0821,-0.0363
cut_detection__threshold_hist__max,cut_detection,-0.0821,-0.0363
core_optical_flow__flow_dir_cos_mean__max,core_optical_flow,-0.082,-0.0215
cut_detection__event_type_id__p50,cut_detection,-0.0818,-0.0899
video_pacing__pacing_symmetry,video_pacing,0.0813,0.1036
cut_detection__ssim_drop__std,cut_detection,-0.0813,-0.0408
cut_detection__soft_hsv_v__mean,cut_detection,0.0797,-0.0133
scene_classification__frame_top1_prob__min,scene_classification,0.0794,0.039
core_clip__cut_detection_transition_scores__std,core_clip,-0.0791,-0.0899
core_optical_flow__cam_affine_scale__p90,core_optical_flow,-0.0791,-0.0538
video_pacing__cuts_per_10s_median,video_pacing,0.0785,0.1711
video_pacing__cuts_variance,video_pacing,-0.0783,-0.1715
video_pacing__shot_duration_std,video_pacing,-0.0783,-0.1715
core_clip__consecutive_cosine_prev__min,core_clip,0.0783,0.0597
cut_detection__flow_spike_ratio,cut_detection,-0.0781,-0.0701
core_clip__scene_atmosphere_scores__max,core_clip,-0.078,0.0535
cut_detection__soft_lab_l__mean,cut_detection,0.0779,-0.0317
video_pacing__cuts_per_10s,video_pacing,0.0772,0.1761
core_clip__places365_topk_indices__mean,core_clip,-0.0764,-0.0794
core_clip__frame_embeddings__mean,core_clip,0.0763,0.1882
cut_detection__event_type_id__mean,cut_detection,-0.0763,-0.0675
core_optical_flow__flow_dir_dispersion__max,core_optical_flow,-0.0761,-0.0094
video_pacing__high_change_frames_ratio,video_pacing,-0.0758,-0.119
video_pacing__cut_density_map_8bins_1,video_pacing,0.075,0.1705
cut_detection__soft_hist_diff_l1__mean,cut_detection,-0.075,-0.0319
core_clip__shot_quality_scores__max,core_clip,-0.0743,-0.1082
uniqueness__pairwise_sim_mean,uniqueness,0.0738,0.024
uniqueness__diversity_score,uniqueness,-0.0738,-0.024
core_optical_flow__cam_affine_rotation__p90,core_optical_flow,-0.0722,-0.0597
scene_classification__length_frames__min,scene_classification,0.0721,0.0422
cut_detection__motion_cut_intensity_score,cut_detection,-0.072,0.0388
scene_classification__frame_scene_embedding__p50,scene_classification,0.0719,0.1258
video_pacing__shot_duration_median,video_pacing,-0.0717,-0.1475
core_optical_flow__cam_affine_scale__std,core_optical_flow,-0.0713,-0.051
cut_detection__very_long_shots_count,cut_detection,-0.0704,-0.1307
scene_classification__label_stability__std,scene_classification,-0.0702,-0.059
core_clip__places365_topk_scores__max,core_clip,-0.07,-0.0614
cut_detection__soft_hist_diff_l1__p90,cut_detection,-0.0699,-0.0083
scene_classification__frame_scene_embedding__p90,scene_classification,-0.0699,0.0137
core_optical_flow__cam_tx_per_sec_norm__p90,core_optical_flow,-0.0698,-0.0083
video_pacing__cut_density_map_8bins_6,video_pacing,0.0697,0.1547
cut_detection__whip_pan_transitions_count,cut_detection,-0.0697,-0.1026
cut_detection__shot_length_p90,cut_detection,-0.0691,-0.152
uniqueness__max_sim_to_other_p95,uniqueness,0.0691,-0.0036
core_clip__frame_embeddings__std,core_clip,0.0686,0.1385
cut_detection__event_type_id__std,cut_detection,-0.0679,-0.0049
cut_detection__event_strength__p90,cut_detection,-0.0678,-0.1035
video_pacing__shot_duration_mean,video_pacing,-0.0677,-0.1531
cut_detection__shot_length_p75,cut_detection,-0.0677,-0.1659
scene_classification__frame_entropy__max,scene_classification,-0.0676,-0.0292
cut_detection__fade_out_count,cut_detection,-0.0676,-0.0868
cut_detection__soft_hsv_v__p50,cut_detection,0.0674,-0.0209
core_optical_flow__flow_dir_sin_mean__min,core_optical_flow,0.0674,0.0999
cut_detection__median_shot_length,cut_detection,-0.0672,-0.163
core_clip__places365_topk_indices__p50,core_clip,-0.0672,-0.056
cut_detection__hist_diff_l1__mean,cut_detection,-0.0672,-0.0244
video_pacing__cut_density_map_8bins_0,video_pacing,0.0671,0.1235
scene_classification__scene_change_score__std,scene_classification,-0.067,-0.0407
cut_detection__extremely_short_shots_count,cut_detection,-0.0667,-0.0879
cut_detection__dissolve_count,cut_detection,0.0657,0.0399
core_clip__places365_topk_indices__p90,core_clip,-0.0656,-0.063
scene_classification__frame_scene_embedding__std,scene_classification,0.0654,0.1521
cut_detection__cut_interval_std,cut_detection,-0.0653,-0.1286
core_optical_flow__cam_affine_scale__min,core_optical_flow,0.0653,0.0244
cut_detection__event_type_id__max,cut_detection,-0.0651,-0.0373
core_optical_flow__cam_ty_per_sec_norm__max,core_optical_flow,-0.0646,0.0294
cut_detection__pair_dt_s__p50,cut_detection,-0.0645,-0.1233
video_pacing__cut_density_map_8bins_2,video_pacing,0.0644,0.1292
core_optical_flow__flow_dir_cos_mean__min,core_optical_flow,0.064,-0.0191
cut_detection__threshold_hist__std,cut_detection,-0.0638,-0.0605
cut_detection__cuts_per_minute,cut_detection,0.0636,0.1702
cut_detection__hard_cuts_per_minute,cut_detection,0.0636,0.1702
cut_detection__motion_cuts_count,cut_detection,-0.0636,-0.0548
cut_detection__soft_hist_diff_l1__p50,cut_detection,-0.0635,-0.0438
cut_detection__avg_shot_length,cut_detection,-0.063,-0.1593
core_clip__scene_atmosphere_scores__min,core_clip,0.0629,0.0747
core_optical_flow__cam_affine_rotation__max,core_optical_flow,-0.0629,-0.0558
video_pacing__shot_duration_max,video_pacing,-0.0622,-0.1412
cut_detection__pair_times_s__min,cut_detection,-0.0622,-0.1201
core_optical_flow__cam_affine_scale__max,core_optical_flow,-0.062,-0.0591
core_clip__scene_aesthetic_scores__min,core_clip,0.0619,0.0323
scene_classification__frame_entropy__std,scene_classification,-0.0619,-0.0228
cut_detection__fade_in_count,cut_detection,-0.0616,-0.0383
cut_detection__hist_diff_l1__p90,cut_detection,-0.0611,-0.0081
cut_detection__soft_lab_l__p50,cut_detection,0.0608,-0.0413
uniqueness__cos_dist_next_mean,uniqueness,-0.0607,0.0089
core_clip__consecutive_cosine_prev__p50,core_clip,0.0604,-0.0232
core_optical_flow__dt_seconds__p50,core_optical_flow,-0.0603,-0.1199
scene_classification__end_frame__std,scene_classification,-0.06,-0.0872
core_optical_flow__cam_tx_per_sec_norm__std,core_optical_flow,-0.0594,0.0317
cut_detection__speed_ramp_cuts_count,cut_detection,-0.0593,-0.0473
cut_detection__event_type_id__p90,cut_detection,-0.059,-0.0296
scene_classification__class_entropy_mean__std,scene_classification,-0.0588,-0.0424
cut_detection__soft_flow_mag__p50,cut_detection,-0.0588,0.0376
cut_detection__flow_mag__p50,cut_detection,-0.0588,0.0376
scene_classification__fraction_high_confidence_frames__p50,scene_classification,-0.0588,-0.1313
core_clip__cut_detection_transition_scores__max,core_clip,-0.0587,-0.0057
core_optical_flow__flow_dy_mean_per_sec_norm__max,core_optical_flow,-0.0586,0.0431
core_clip__consecutive_cosine_prev__std,core_clip,-0.0585,0.004
core_optical_flow__flow_dx_mean_per_sec_norm__std,core_optical_flow,-0.0583,0.0592
cut_detection__motion_flow_mag__p50,cut_detection,-0.0583,0.0374
cut_detection__threshold_flow__mean,cut_detection,-0.0583,0.0657
cut_detection__threshold_flow__max,cut_detection,-0.0583,0.0657
cut_detection__threshold_flow__min,cut_detection,-0.0583,0.0657
cut_detection__threshold_flow__p50,cut_detection,-0.0583,0.0657
cut_detection__threshold_flow__p90,cut_detection,-0.0583,0.0657
scene_classification__mean_score__std,scene_classification,-0.0581,-0.0549
scene_classification__top1_prob_mean__std,scene_classification,-0.0581,-0.0549
scene_classification__length_frames__p90,scene_classification,-0.0581,-0.1174
core_optical_flow__cam_shake_std_norm__p50,core_optical_flow,-0.0579,0.0221
core_optical_flow__flow_div_abs_mean__max,core_optical_flow,-0.0579,-0.0093
core_optical_flow__flow_consistency__min,core_optical_flow,0.0579,0.0093
cut_detection__motion_flow_mag__std,cut_detection,-0.0575,0.0688
cut_detection__soft_flow_mag__std,cut_detection,-0.0575,0.0688
cut_detection__flow_mag__std,cut_detection,-0.0575,0.0688
cut_detection__pair_dt_s__p90,cut_detection,-0.0575,-0.1218
cut_detection__cut_rhythm_uniformity_score,cut_detection,0.0574,0.0693
scene_classification__end_time_s__std,scene_classification,-0.0573,-0.1013
core_optical_flow__motion_norm_per_sec_mean__p50,core_optical_flow,-0.0571,0.0345
scene_classification__start_frame__p50,scene_classification,-0.0571,-0.0138
core_optical_flow__preview_cur_times_s__min,core_optical_flow,-0.0571,-0.1164
scene_classification__top1_vs_top2_gap_mean__std,scene_classification,-0.0567,-0.064
scene_classification__length_seconds__min,scene_classification,0.0565,-0.0917
cut_detection__cut_interval_cv,cut_detection,-0.0563,-0.0695
core_clip__consecutive_cosine_prev__mean,core_clip,0.0562,-0.0251
core_clip__popularity_topic_scores__mean,core_clip,0.0561,0.0976
cut_detection__zoom_transition_count,cut_detection,-0.056,-0.0429
video_pacing__main_speed,video_pacing,-0.0559,-0.1235
core_clip__consecutive_cosine_prev__p90,core_clip,0.0556,-0.0278
core_optical_flow__cam_affine_rotation__std,core_optical_flow,-0.0556,-0.0378
core_optical_flow__motion_norm_per_sec_mean__std,core_optical_flow,-0.0554,0.0673
cut_detection__soft_flow_mag__mean,cut_detection,-0.0548,0.072
cut_detection__flow_mag__mean,cut_detection,-0.0548,0.072
cut_detection__flow_mag__max,cut_detection,-0.0545,0.0558
cut_detection__soft_flow_mag__max,cut_detection,-0.0545,0.0558
cut_detection__motion_flow_mag__max,cut_detection,-0.0545,0.0558
cut_detection__motion_flow_mag__mean,cut_detection,-0.0544,0.0721
uniqueness__cos_dist_next_p95,uniqueness,-0.0543,0.0004
core_optical_flow__dt_seconds__p90,core_optical_flow,-0.0543,-0.1221
core_optical_flow__flow_div_abs_mean__std,core_optical_flow,-0.0541,0.0057
cut_detection__event_end_time_s__min,cut_detection,-0.0539,-0.1464
cut_detection__audio_cut_alignment_score,cut_detection,0.0535,0.0682
core_optical_flow__flow_dy_mean_per_sec_norm__std,core_optical_flow,-0.0534,0.0533
core_optical_flow__motion_norm_per_sec_mean__max,core_optical_flow,-0.0532,0.0529
cut_detection__hist_diff_l1__p50,cut_detection,-0.0531,-0.0285
cut_detection__scene_whoosh_transition_prob,cut_detection,-0.0529,-0.0423
core_optical_flow__cam_shake_std_norm__p90,core_optical_flow,-0.0527,0.0587
core_clip__places365_video_topk_indices__p50,core_clip,-0.0527,-0.0612
cut_detection__motion_mag_variance__max,cut_detection,-0.0525,0.0192
cut_detection__motion_mag_variance__p90,cut_detection,-0.0524,0.011
scene_classification__start_frame__mean,scene_classification,-0.0524,-0.0334
core_optical_flow__motion_norm_per_sec_mean__mean,core_optical_flow,-0.0523,0.0703
scene_classification__start_time_s__mean,scene_classification,-0.0523,-0.085
core_optical_flow__flow_dy_mean_per_sec_norm__p90,core_optical_flow,-0.052,0.0346
cut_detection__pair_dt_s__mean,cut_detection,-0.0517,-0.0974
scene_classification__length_frames__max,scene_classification,-0.0517,-0.1004
cut_detection__edit_style_high_action_prob,cut_detection,0.0516,0.0737
core_optical_flow__cam_affine_rotation__min,core_optical_flow,0.0516,0.0014
cut_detection__max_cut_interval,cut_detection,-0.0516,-0.1302
scene_classification__frame_topk_ids__std,scene_classification,-0.0515,0.0083
core_clip__consecutive_cosine_prev__max,core_clip,0.0515,-0.0075
cut_detection__median_cut_interval,cut_detection,-0.0513,-0.1432
cut_detection__event_start_time_s__p50,cut_detection,-0.0512,-0.1104
core_optical_flow__cam_shake_std_norm__mean,core_optical_flow,-0.0511,0.0666
scene_classification__frame_topk_ids__p90,scene_classification,-0.051,-0.1293
core_optical_flow__cam_tx_per_sec_norm__min,core_optical_flow,0.0506,-0.0399
scene_classification__fraction_high_confidence_frames__std,scene_classification,-0.0506,-0.0587
scene_classification__frame_topk_ids__mean,scene_classification,-0.0503,-0.134
core_optical_flow__cam_tx_per_sec_norm__mean,core_optical_flow,0.0501,-0.0229
core_clip__scene_luxury_scores__std,core_clip,-0.05,-0.1075
core_optical_flow__dt_seconds__mean,core_optical_flow,-0.0499,-0.0956
cut_detection__shot_length_histogram__std,cut_detection,0.0499,0.0252
core_optical_flow__cam_ty_per_sec_norm__std,core_optical_flow,-0.0498,0.0262
cut_detection__motion_mag_variance__mean,cut_detection,-0.0498,0.036
scene_classification__length_frames__p50,scene_classification,0.0497,-0.0206
core_optical_flow__flow_dx_mean_per_sec_norm__mean,core_optical_flow,0.0497,-0.0199
core_clip__popularity_topic_scores__p50,core_clip,0.0496,0.0793
scene_classification__start_time_s__p50,scene_classification,-0.0495,-0.0673
cut_detection__shot_length_histogram__max,cut_detection,0.0494,0.0251
core_optical_flow__flow_dir_sin_mean__max,core_optical_flow,-0.0494,-0.0562
scene_classification__label_stability__max,scene_classification,-0.0491,-0.082
cut_detection__motion_dir_valid_mask__mean,cut_detection,-0.0486,0.0203
cut_detection__motion_var_valid_mask__mean,cut_detection,-0.0486,0.0203
scene_classification__end_frame__mean,scene_classification,-0.0485,-0.0718
cut_detection__event_pair_index__mean,cut_detection,-0.0482,-0.0949
cut_detection__event_pair_index__max,cut_detection,-0.048,-0.1004
core_optical_flow__cam_ty_per_sec_norm__min,core_optical_flow,0.048,-0.0127
core_clip__places365_video_topk_indices__mean,core_clip,-0.0478,-0.0566
core_optical_flow__cam_shake_std_norm__std,core_optical_flow,-0.0477,0.0777
scene_classification__length_seconds__p90,scene_classification,-0.0477,-0.1453
uniqueness__pairwise_sim_p95,uniqueness,0.0477,-0.0321
cut_detection__shot_length_p25,cut_detection,-0.0474,-0.1426
cut_detection__event_times_s__max,cut_detection,-0.0471,-0.1018
scene_classification__start_time_s__std,scene_classification,-0.0471,-0.0938
core_optical_flow__flow_consistency__std,core_optical_flow,-0.0468,0.0029
scene_classification__start_time_s__max,scene_classification,-0.0468,-0.0864
scene_classification__length_seconds__max,scene_classification,-0.0465,-0.1297
core_optical_flow__flow_dx_mean_per_sec_norm__min,core_optical_flow,0.0464,-0.0654
cut_detection__event_start_time_s__mean,cut_detection,-0.0464,-0.1086
cut_detection__event_end_time_s__max,cut_detection,-0.0463,-0.1004
cut_detection__pair_times_s__p50,cut_detection,-0.046,-0.1013
cut_detection__union_timestamps_sec__p90,cut_detection,-0.0459,-0.1012
cut_detection__times_s__p90,cut_detection,-0.0459,-0.1012
cut_detection__pair_times_s__p90,cut_detection,-0.0459,-0.1012
cut_detection__times_s__p50,cut_detection,-0.0458,-0.1012
cut_detection__union_timestamps_sec__p50,cut_detection,-0.0458,-0.1012
cut_detection__pair_times_s__mean,cut_detection,-0.0458,-0.1012
cut_detection__event_times_s__mean,cut_detection,-0.0458,-0.1079
cut_detection__times_s__mean,cut_detection,-0.0458,-0.1012
cut_detection__union_timestamps_sec__mean,cut_detection,-0.0458,-0.1012
video_pacing__video_length_seconds,video_pacing,-0.0458,-0.0919
cut_detection__pair_times_s__std,cut_detection,-0.0458,-0.1011
core_optical_flow__cam_shake_std_norm__max,core_optical_flow,-0.0458,0.0748
cut_detection__times_s__std,cut_detection,-0.0458,-0.1011
cut_detection__union_timestamps_sec__std,cut_detection,-0.0458,-0.1011
cut_detection__pair_times_s__max,cut_detection,-0.0457,-0.1011
cut_detection__times_s__max,cut_detection,-0.0457,-0.1011
cut_detection__union_timestamps_sec__max,cut_detection,-0.0457,-0.1011
core_clip__places365_video_topk_indices__p90,core_clip,-0.0457,-0.0249
cut_detection__motion_dir_consistency__p90,cut_detection,-0.0456,-0.0805
core_optical_flow__cam_ty_per_sec_norm__mean,core_optical_flow,-0.0455,0.0072
cut_detection__event_start_time_s__max,cut_detection,-0.0455,-0.1019
scene_classification__end_frame__p50,scene_classification,-0.0454,-0.0552
core_optical_flow__preview_flow_mag_map_norm__std,core_optical_flow,-0.0454,0.0252
cut_detection__event_end_time_s__mean,cut_detection,-0.0452,-0.1082
scene_classification__start_time_s__p90,scene_classification,-0.045,-0.0853
core_optical_flow__flow_dy_mean_per_sec_norm__min,core_optical_flow,0.0449,-0.039
uniqueness__effective_unique_frames,uniqueness,-0.0447,-0.0043
scene_classification__frame_top1_prob__std,scene_classification,-0.0443,-0.0465
scene_classification__times_s__p50,scene_classification,-0.044,-0.0922
scene_classification__times_s__p90,scene_classification,-0.044,-0.0921
scene_classification__fraction_high_confidence_frames__max,scene_classification,-0.0439,-0.0387
scene_classification__times_s__mean,scene_classification,-0.0438,-0.0919
scene_classification__times_s__std,scene_classification,-0.0438,-0.0918
core_optical_flow__flow_mag_p95_per_sec_norm__max,core_optical_flow,-0.0436,0.0731
scene_classification__times_s__max,scene_classification,-0.0436,-0.0918
scene_classification__end_time_s__max,scene_classification,-0.0436,-0.0918
cut_detection__motion_flow_mag__p90,cut_detection,-0.0435,0.0757
core_optical_flow__flow_dir_sin_mean__mean,core_optical_flow,0.0434,0.0711
cut_detection__event_times_s__p50,cut_detection,-0.0431,-0.1056
cut_detection__event_times_s__p90,cut_detection,-0.0428,-0.0986
cut_detection__soft_flow_mag__p90,cut_detection,-0.0426,0.0767
cut_detection__flow_mag__p90,cut_detection,-0.0426,0.0767
core_optical_flow__flow_dir_cos_mean__mean,core_optical_flow,0.0425,-0.0306
scene_classification__label_stability__min,scene_classification,0.0423,0.0004
scene_classification__frame_top1_prob__p90,scene_classification,-0.0422,-0.0757
cut_detection__threshold_flow__std,cut_detection,-0.0422,0.0322
core_clip__frame_embeddings__min,core_clip,0.0421,0.0692
scene_classification__top1_vs_top2_gap_mean__min,scene_classification,0.0421,0.0027
cut_detection__event_start_time_s__p90,cut_detection,-0.0418,-0.1003
cut_detection__event_end_time_s__p90,cut_detection,-0.0418,-0.1004
cut_detection__event_times_s__min,cut_detection,-0.0417,-0.1364
scene_classification__frame_top1_top2_gap__p90,scene_classification,-0.0416,-0.0739
core_optical_flow__flow_dir_cos_mean__std,core_optical_flow,-0.0414,0.0372
cut_detection__event_end_time_s__std,cut_detection,-0.0413,-0.0904
cut_detection__motion_mag_variance__std,cut_detection,-0.0412,0.0055
cut_detection__pair_dt_s__min,cut_detection,-0.0409,-0.0982
scene_classification__end_time_s__p90,scene_classification,-0.0407,-0.0942
scene_classification__scene_change_score__max,scene_classification,-0.0406,0.0131
cut_detection__min_cut_interval,cut_detection,-0.0405,-0.1368
cut_detection__event_contrib_mask__mean,cut_detection,0.0403,0.0052
core_clip__places365_topk_scores__p90,core_clip,-0.0402,-0.0568
scene_classification__end_time_s__mean,scene_classification,-0.0402,-0.0984
core_clip__scene_atmosphere_scores__p90,core_clip,-0.0401,0.1153
scene_classification__end_time_s__p50,scene_classification,-0.0401,-0.0976
core_optical_flow__preview_prev_times_s__p90,core_optical_flow,-0.0401,-0.0985
cut_detection__event_times_s__std,cut_detection,-0.0401,-0.0892
core_optical_flow__times_s__p90,core_optical_flow,-0.0401,-0.0987
core_clip__places365_topk_indices__std,core_clip,-0.0401,0.0408
core_optical_flow__preview_cur_times_s__p90,core_optical_flow,-0.0401,-0.0985
core_optical_flow__preview_prev_times_s__mean,core_optical_flow,-0.04,-0.0987
core_optical_flow__times_s__p50,core_optical_flow,-0.04,-0.0987
core_clip__places365_topk_scores__min,core_clip,0.04,-0.0281
core_optical_flow__times_s__mean,core_optical_flow,-0.04,-0.0986
core_optical_flow__preview_prev_times_s__std,core_optical_flow,-0.04,-0.0985
core_optical_flow__preview_prev_times_s__max,core_optical_flow,-0.0399,-0.0986
core_optical_flow__preview_cur_times_s__mean,core_optical_flow,-0.0399,-0.0986
core_optical_flow__times_s__std,core_optical_flow,-0.0399,-0.0986
core_optical_flow__preview_cur_times_s__std,core_optical_flow,-0.0399,-0.0984
core_optical_flow__preview_cur_times_s__p50,core_optical_flow,-0.0399,-0.0986
core_optical_flow__preview_prev_times_s__p50,core_optical_flow,-0.0399,-0.0986
core_optical_flow__preview_cur_times_s__max,core_optical_flow,-0.0399,-0.0986
core_optical_flow__times_s__max,core_optical_flow,-0.0399,-0.0986
cut_detection__shot_length_histogram__p90,cut_detection,0.0398,0.0461
core_optical_flow__motion_norm_per_sec_mean__p90,core_optical_flow,-0.0395,0.0751
scene_classification__end_frame__max,scene_classification,-0.0394,-0.0889
cut_detection__ssim_drop__min,cut_detection,-0.0394,-0.0012
cut_detection__event_end_time_s__p50,cut_detection,-0.0393,-0.102
core_clip__times_s__p90,core_clip,-0.0393,-0.1039
cut_detection__shot_length_histogram__mean,cut_detection,-0.0393,-0.0906
cut_detection__event_pair_index__p50,cut_detection,-0.0392,-0.0813
core_clip__times_s__p50,core_clip,-0.0392,-0.1039
core_clip__times_s__mean,core_clip,-0.0392,-0.1039
core_clip__times_s__std,core_clip,-0.0392,-0.1038
core_clip__times_s__max,core_clip,-0.0391,-0.1038
core_optical_flow__dt_seconds__min,core_optical_flow,-0.0391,-0.0975
scene_classification__fraction_high_confidence_frames__mean,scene_classification,-0.0391,-0.0675
core_optical_flow__flow_div_abs_mean__mean,core_optical_flow,-0.039,0.0229
scene_classification__label_stability__p90,scene_classification,-0.0389,-0.0742
scene_classification__frame_top1_top2_gap__std,scene_classification,-0.0385,-0.0639
scene_classification__frame_topk_ids__max,scene_classification,-0.0383,-0.0585
cut_detection__event_strength__mean,cut_detection,-0.0382,-0.1293
cut_detection__shot_length_p10,cut_detection,-0.038,-0.128
scene_classification__frame_entropy__p90,scene_classification,-0.0377,0.0249
scene_classification__frame_scene_id__p90,scene_classification,-0.0376,0.0328
core_clip__scene_luxury_scores__mean,core_clip,0.0375,0.0063
scene_classification__scene_change_score__p90,scene_classification,-0.0375,-0.0033
cut_detection__event_start_time_s__std,cut_detection,-0.0374,-0.0947
video_pacing__cut_density_map_8bins_7,video_pacing,0.0373,0.0978
core_optical_flow__flow_mag_p95_per_sec_norm__std,core_optical_flow,-0.0373,0.0964
cut_detection__motion_dir_consistency__min,cut_detection,-0.0369,-0.0009
core_optical_flow__preview_pair_pos__p50,core_optical_flow,-0.0366,-0.0971
core_optical_flow__preview_pair_pos__std,core_optical_flow,-0.0366,-0.0971
core_optical_flow__preview_pair_pos__p90,core_optical_flow,-0.0366,-0.0971
core_optical_flow__preview_pair_pos__mean,core_optical_flow,-0.0366,-0.0971
core_optical_flow__preview_pair_pos__max,core_optical_flow,-0.0366,-0.0971
video_pacing__motion_speed_variance,video_pacing,-0.0366,0.0966
uniqueness__repetition_ratio,uniqueness,0.0366,-0.0108
uniqueness__effective_unique_ratio,uniqueness,-0.0366,0.0108
cut_detection__event_pair_index__p90,cut_detection,-0.0362,-0.0847
cut_detection__motion_camera_motion_flag__mean,cut_detection,0.0361,-0.0053
core_clip__places365_topk_indices__max,core_clip,-0.0356,-0.0321
core_clip__scene_atmosphere_scores__std,core_clip,-0.0354,0.0575
core_optical_flow__cam_affine_scale__mean,core_optical_flow,-0.0353,-0.0435
cut_detection__threshold_ssim__std,cut_detection,-0.0353,-0.0055
core_clip__cut_detection_transition_scores__p90,core_clip,-0.0353,0.0296
video_pacing__color_change_rate_std,video_pacing,0.0352,0.1614
cut_detection__hard_cut_strength_p25,cut_detection,0.0351,0.0395
video_pacing__luminance_spikes_per_minute,video_pacing,0.035,0.119
core_optical_flow__flow_div_abs_mean__p90,core_optical_flow,-0.0349,0.0253
scene_classification__frame_scene_id__max,scene_classification,-0.0348,0.0297
cut_detection__motion_mag_variance__p50,cut_detection,-0.0347,0.0257
scene_classification__top1_prob_mean__min,scene_classification,0.0345,-0.0085
scene_classification__mean_score__min,scene_classification,0.0345,-0.0085
cut_detection__shot_length_histogram__min,cut_detection,0.0344,0.0332
cut_detection__cut_interval_entropy,cut_detection,-0.0342,-0.0169
cut_detection__hard_score__std,cut_detection,0.0342,0.1165
scene_classification__frame_scene_id__std,scene_classification,-0.0341,0.0421
core_optical_flow__flow_dir_sin_mean__std,core_optical_flow,-0.0339,-0.0949
cut_detection__event_strength__min,cut_detection,0.0339,0.108
video_pacing__cut_density_map_8bins_3,video_pacing,0.0337,0.091
video_pacing__frame_embedding_diff_std,video_pacing,0.0333,0.1648
core_optical_flow__flow_dir_cos_mean__p50,core_optical_flow,0.0333,-0.024
cut_detection__event_strength__p50,cut_detection,-0.0332,0.0503
cut_detection__pair_dt_s__max,cut_detection,-0.033,-0.0864
scene_classification__start_frame__p90,scene_classification,-0.0328,-0.0456
cut_detection__edit_style_fast_prob,cut_detection,0.0321,0.0041
core_optical_flow__cam_tx_per_sec_norm__max,core_optical_flow,-0.0319,0.0396
cut_detection__short_shots_ratio,cut_detection,-0.0318,-0.0238
core_optical_flow__flow_dx_mean_per_sec_norm__p50,core_optical_flow,0.0317,-0.0326
core_optical_flow__flow_dir_cos_mean__p90,core_optical_flow,-0.0314,0.0253
scene_classification__top1_vs_top2_gap_mean__p50,scene_classification,-0.0311,-0.0974
core_optical_flow__flow_dx_mean_per_sec_norm__max,core_optical_flow,-0.0311,0.0622
core_optical_flow__flow_consistency__mean,core_optical_flow,0.0311,-0.0292
cut_detection__hist_diff_l1__min,cut_detection,-0.031,0.0076
video_pacing__brightness_change_rate,video_pacing,-0.0308,0.1365
