feature,component,spearman_vs_residual,spearman_vs_target
core_optical_flow__flow_dir_dispersion__min,core_optical_flow,0.1327,0.0751
cut_detection__soft_lab_l__min,cut_detection,0.1232,0.0673
cut_detection__ssim_drop__max,cut_detection,-0.122,-0.105
cut_detection__soft_hsv_v__min,cut_detection,0.1196,0.0653
cut_detection__soft_lab_l__std,cut_detection,-0.1163,-0.0723
cut_detection__soft_hsv_v__std,cut_detection,-0.1083,-0.0617
core_clip__popularity_topic_scores__min,core_clip,0.1079,0.1127
core_optical_flow__preview_flow_mag_map_norm__mean,core_optical_flow,-0.1067,-0.0991
cut_detection__threshold_ssim__p90,cut_detection,-0.1046,-0.0772
cut_detection__threshold_ssim__min,cut_detection,-0.1046,-0.0772
cut_detection__threshold_ssim__mean,cut_detection,-0.1046,-0.0772
cut_detection__threshold_ssim__max,cut_detection,-0.1046,-0.0772
cut_detection__threshold_ssim__p50,cut_detection,-0.1046,-0.0772
core_clip__scene_luxury_scores__min,core_clip,0.1027,0.0963
core_clip__places365_topk_indices__min,core_clip,0.0981,0.0821
core_optical_flow__flow_dir_dispersion__p50,core_optical_flow,0.0978,0.0756
core_clip__frame_embeddings__p50,core_clip,0.0961,0.1221
video_pacing__cuts_per_10s_max,video_pacing,0.0956,0.1924
core_optical_flow__preview_flow_mag_map_norm__p90,core_optical_flow,-0.0942,-0.0501
scene_classification__length_frames__std,scene_classification,-0.0935,-0.1116
cut_detection__ssim_drop__mean,cut_detection,-0.0935,-0.0607
cut_detection__soft_hist_diff_l1__max,cut_detection,-0.0929,-0.0864
cut_detection__soft_hist_diff_l1__std,cut_detection,-0.0914,-0.0247
cut_detection__ssim_drop__p50,cut_detection,-0.0913,-0.064
cut_detection__hist_diff_l1__max,cut_detection,-0.0901,-0.0817
core_optical_flow__cam_ty_per_sec_norm__p90,core_optical_flow,-0.0899,-0.0086
video_pacing__intro_speed,video_pacing,-0.0897,-0.1804
cut_detection__hist_diff_l1__std,cut_detection,-0.0893,-0.0336
core_optical_flow__preview_flow_mag_map_norm__p50,core_optical_flow,-0.0879,-0.091
core_clip__popularity_topic_scores__std,core_clip,-0.0871,-0.0663
uniqueness__max_sim_to_other_mean,uniqueness,0.0855,0.0021
uniqueness__repeat_threshold_raw,uniqueness,0.0855,0.0213
cut_detection__ssim_drop__p90,cut_detection,-0.0854,-0.0699
core_clip__places365_topk_scores__std,core_clip,-0.0854,-0.0199
core_optical_flow__flow_dir_dispersion__mean,core_optical_flow,0.0851,0.0756
scene_classification__length_seconds__std,scene_classification,-0.0845,-0.1436
uniqueness__repeat_threshold_used,uniqueness,0.083,0.0168
