head,n,n_groups,S0,S0+lean,S0+full
views_7d,799,776,0.8652,0.8699,0.8688
views_14d,985,951,0.8545,0.8544,0.8464
views_21d,983,949,0.8619,0.853,0.8542
likes_7d,799,776,0.6837,0.7067,0.7029
likes_14d,985,951,0.6984,0.6987,0.7029
likes_21d,983,949,0.7051,0.7033,0.7022
